,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,436.0,350.0,216.0,486.0,602.0,602.0,602.0,602.0,602.0,475.0,475.0,475.0,475.0,551.0,551.0,551.0,551.0,470.0,470.0,470.0,470.0,470.0,436.0,441.0,350.0,350.0,350.0,350.0,350.0,523.0,523.0,523.0,523.0,441.0,441.0,441.0,441.0,416.0,416.0,416.0,416.0,416.0,470.0,216.0,674.0,674.0,674.0,674.0,674.0,717.0,717.0,717.0,717.0,820.0,820.0,820.0,820.0,791.0,791.0,791.0,791.0,791.0,656.0,436.0,470.0,656.0,513.6888888888889,509.0,615.1777777777778,189.0,329.0,604.0,602.0,523.0,820.0
0,436.0,350.0,563.0,602.0,475.0,475.0,475.0,475.0,551.0,551.0,551.0,551.0,470.0,470.0,470.0,470.0,470.0,436.0,436.0,436.0,436.0,436.0,462.0,350.0,523.0,523.0,523.0,523.0,441.0,441.0,441.0,441.0,416.0,416.0,416.0,416.0,416.0,470.0,470.0,470.0,470.0,470.0,501.0,674.0,717.0,717.0,717.0,717.0,820.0,820.0,820.0,820.0,791.0,791.0,791.0,791.0,791.0,656.0,656.0,656.0,656.0,656.0,563.0,462.0,501.0,563.0,514.0444444444445,492.3333333333333,618.2888888888889,166.0,329.0,604.0,602.0,523.0,820.0
0,422.0,416.0,563.0,551.0,551.0,551.0,551.0,470.0,470.0,470.0,470.0,470.0,436.0,436.0,436.0,436.0,462.0,462.0,462.0,462.0,462.0,422.0,422.0,441.0,441.0,441.0,441.0,416.0,416.0,416.0,416.0,416.0,470.0,470.0,470.0,470.0,501.0,501.0,501.0,501.0,501.0,618.0,618.0,820.0,820.0,820.0,820.0,791.0,791.0,791.0,791.0,791.0,656.0,656.0,656.0,656.0,563.0,563.0,563.0,563.0,563.0,568.0,568.0,422.0,618.0,568.0,503.84444444444443,476.93333333333334,613.7333333333333,180.0,329.0,604.0,551.0,618.0,820.0
0,422.0,416.0,495.0,470.0,470.0,470.0,470.0,436.0,436.0,436.0,436.0,436.0,462.0,462.0,462.0,462.0,462.0,422.0,422.0,422.0,422.0,505.0,505.0,416.0,416.0,416.0,416.0,470.0,470.0,470.0,470.0,470.0,501.0,501.0,501.0,501.0,501.0,618.0,618.0,618.0,618.0,435.0,435.0,791.0,791.0,791.0,791.0,656.0,656.0,656.0,656.0,656.0,563.0,563.0,563.0,563.0,563.0,568.0,568.0,568.0,568.0,495.0,495.0,505.0,435.0,495.0,493.46666666666664,469.8888888888889,608.2444444444444,180.0,268.0,604.0,505.0,618.0,791.0
0,422.0,410.0,488.0,436.0,436.0,436.0,436.0,436.0,462.0,462.0,462.0,462.0,462.0,422.0,422.0,422.0,422.0,505.0,505.0,505.0,505.0,464.0,464.0,470.0,470.0,470.0,470.0,470.0,501.0,501.0,501.0,501.0,501.0,618.0,618.0,618.0,618.0,435.0,435.0,435.0,435.0,410.0,410.0,656.0,656.0,656.0,656.0,656.0,563.0,563.0,563.0,563.0,563.0,568.0,568.0,568.0,568.0,495.0,495.0,495.0,495.0,488.0,488.0,464.0,410.0,488.0,491.1777777777778,462.9111111111111,601.5555555555555,180.0,268.0,604.0,505.0,618.0,656.0
0,422.0,399.0,468.0,436.0,462.0,462.0,462.0,462.0,462.0,422.0,422.0,422.0,422.0,505.0,505.0,505.0,505.0,464.0,464.0,464.0,464.0,494.0,494.0,470.0,501.0,501.0,501.0,501.0,501.0,618.0,618.0,618.0,618.0,435.0,435.0,435.0,435.0,410.0,410.0,410.0,410.0,399.0,399.0,656.0,563.0,563.0,563.0,563.0,563.0,568.0,568.0,568.0,568.0,495.0,495.0,495.0,495.0,488.0,488.0,488.0,488.0,468.0,468.0,494.0,399.0,468.0,488.0888888888889,455.8666666666667,607.9111111111112,180.0,268.0,604.0,505.0,618.0,656.0
0,422.0,399.0,468.0,462.0,462.0,422.0,422.0,422.0,422.0,505.0,505.0,505.0,505.0,464.0,464.0,464.0,464.0,494.0,494.0,494.0,494.0,472.0,472.0,501.0,501.0,618.0,618.0,618.0,618.0,435.0,435.0,435.0,435.0,410.0,410.0,410.0,410.0,399.0,399.0,399.0,399.0,450.0,450.0,563.0,563.0,568.0,568.0,568.0,568.0,495.0,495.0,495.0,495.0,488.0,488.0,488.0,488.0,468.0,468.0,468.0,468.0,512.0,512.0,472.0,450.0,512.0,485.24444444444447,456.4222222222222,622.0888888888888,180.0,268.0,352.0,505.0,618.0,568.0
0,422.0,399.0,468.0,422.0,422.0,505.0,505.0,505.0,505.0,464.0,464.0,464.0,464.0,494.0,494.0,494.0,494.0,472.0,472.0,472.0,472.0,513.0,513.0,618.0,618.0,435.0,435.0,435.0,435.0,410.0,410.0,410.0,410.0,399.0,399.0,399.0,399.0,450.0,450.0,450.0,450.0,592.0,592.0,568.0,568.0,495.0,495.0,495.0,495.0,488.0,488.0,488.0,488.0,468.0,468.0,468.0,468.0,512.0,512.0,512.0,512.0,541.0,541.0,513.0,592.0,541.0,475.5111111111111,471.6222222222222,608.9777777777778,129.0,219.0,352.0,513.0,618.0,568.0
0,464.0,399.0,468.0,505.0,505.0,464.0,464.0,464.0,464.0,494.0,494.0,494.0,494.0,472.0,472.0,472.0,472.0,513.0,513.0,513.0,513.0,513.0,531.0,435.0,435.0,410.0,410.0,410.0,410.0,399.0,399.0,399.0,399.0,450.0,450.0,450.0,450.0,592.0,592.0,592.0,592.0,592.0,549.0,495.0,495.0,488.0,488.0,488.0,488.0,468.0,468.0,468.0,468.0,512.0,512.0,512.0,512.0,541.0,541.0,541.0,541.0,541.0,690.0,531.0,549.0,690.0,479.2888888888889,476.8,596.6444444444444,129.0,219.0,352.0,531.0,592.0,690.0
0,407.0,399.0,468.0,464.0,464.0,464.0,494.0,494.0,494.0,494.0,472.0,472.0,472.0,472.0,513.0,513.0,513.0,513.0,531.0,531.0,531.0,407.0,407.0,410.0,410.0,410.0,399.0,399.0,399.0,399.0,450.0,450.0,450.0,450.0,592.0,592.0,592.0,592.0,549.0,549.0,549.0,622.0,622.0,488.0,488.0,488.0,468.0,468.0,468.0,468.0,512.0,512.0,512.0,512.0,541.0,541.0,541.0,541.0,690.0,690.0,690.0,511.0,511.0,407.0,622.0,511.0,475.2,485.6222222222222,584.0,144.0,223.0,352.0,531.0,622.0,690.0
