,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2
0,648.0,719.0,694.0,506.0,712.0,654.0,534.0,534.0,534.0,534.0,531.0,531.0,531.0,531.0,531.0,648.0,648.0,648.0,648.0,648.0,434.0,434.0,434.0,434.0,434.0,506.0,569.0,569.0,569.0,569.0,573.0,573.0,573.0,573.0,573.0,636.0,636.0,636.0,636.0,636.0,719.0,719.0,719.0,719.0,719.0,712.0,694.0,694.0,694.0,694.0,642.0,642.0,642.0,642.0,642.0,603.0,603.0,603.0,603.0,603.0,509.0,509.0,509.0,509.0,509.0,654.0,214.0,187.0,185.0,531.6222222222223,611.0,599.0666666666667,434.0,569.0,509.0
0,648.0,719.0,699.0,537.0,605.0,699.0,531.0,531.0,531.0,648.0,648.0,648.0,648.0,648.0,434.0,434.0,434.0,434.0,434.0,506.0,506.0,506.0,506.0,506.0,506.0,537.0,573.0,573.0,573.0,636.0,636.0,636.0,636.0,636.0,719.0,719.0,719.0,719.0,719.0,712.0,712.0,712.0,712.0,712.0,712.0,605.0,642.0,642.0,642.0,603.0,603.0,603.0,603.0,603.0,509.0,509.0,509.0,509.0,509.0,654.0,654.0,654.0,654.0,654.0,654.0,699.0,214.0,165.0,190.0,529.0444444444445,631.1555555555556,609.8,434.0,573.0,509.0
0,648.0,719.0,699.0,537.0,605.0,699.0,648.0,648.0,648.0,648.0,434.0,434.0,434.0,434.0,434.0,506.0,506.0,506.0,506.0,506.0,506.0,537.0,537.0,537.0,537.0,537.0,636.0,636.0,636.0,636.0,719.0,719.0,719.0,719.0,719.0,712.0,712.0,712.0,712.0,712.0,712.0,605.0,605.0,605.0,605.0,605.0,603.0,603.0,603.0,603.0,509.0,509.0,509.0,509.0,509.0,654.0,654.0,654.0,654.0,654.0,654.0,699.0,699.0,699.0,699.0,699.0,214.0,161.0,190.0,528.8666666666667,635.5111111111111,623.7111111111111,434.0,605.0,509.0
0,537.0,719.0,699.0,513.0,539.0,473.0,434.0,434.0,434.0,434.0,506.0,506.0,506.0,506.0,506.0,506.0,537.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,513.0,719.0,719.0,719.0,719.0,712.0,712.0,712.0,712.0,712.0,712.0,605.0,605.0,605.0,605.0,605.0,591.0,591.0,591.0,591.0,539.0,509.0,509.0,509.0,509.0,654.0,654.0,654.0,654.0,654.0,654.0,699.0,699.0,699.0,699.0,699.0,610.0,610.0,610.0,610.0,473.0,214.0,180.0,226.0,525.3333333333334,636.3777777777777,625.6,434.0,539.0,473.0
0,537.0,712.0,751.0,431.0,545.0,751.0,506.0,506.0,506.0,506.0,506.0,506.0,537.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,431.0,431.0,712.0,712.0,712.0,712.0,712.0,712.0,605.0,605.0,605.0,605.0,605.0,591.0,591.0,591.0,591.0,539.0,539.0,539.0,545.0,545.0,654.0,654.0,654.0,654.0,654.0,654.0,699.0,699.0,699.0,699.0,699.0,610.0,610.0,610.0,610.0,473.0,473.0,473.0,751.0,751.0,217.0,180.0,278.0,521.7555555555556,629.4444444444445,624.3111111111111,431.0,539.0,473.0
0,537.0,712.0,751.0,498.0,563.0,669.0,506.0,506.0,537.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,431.0,431.0,431.0,431.0,498.0,498.0,712.0,712.0,605.0,605.0,605.0,605.0,605.0,591.0,591.0,591.0,591.0,539.0,539.0,539.0,545.0,545.0,545.0,545.0,563.0,563.0,654.0,654.0,699.0,699.0,699.0,699.0,699.0,610.0,610.0,610.0,610.0,473.0,473.0,473.0,751.0,751.0,751.0,751.0,669.0,669.0,217.0,180.0,278.0,517.7111111111111,617.8666666666667,631.8666666666667,431.0,539.0,473.0
0,537.0,605.0,751.0,533.0,381.0,610.0,537.0,537.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,431.0,431.0,431.0,431.0,498.0,498.0,498.0,498.0,498.0,533.0,533.0,605.0,605.0,591.0,591.0,591.0,591.0,539.0,539.0,539.0,545.0,545.0,545.0,545.0,563.0,563.0,563.0,563.0,563.0,381.0,381.0,699.0,699.0,610.0,610.0,610.0,610.0,473.0,473.0,473.0,751.0,751.0,751.0,751.0,669.0,669.0,669.0,669.0,669.0,610.0,610.0,217.0,338.0,278.0,514.7333333333333,605.4222222222222,629.1333333333333,431.0,381.0,473.0
0,533.0,591.0,751.0,496.0,496.0,281.0,506.0,506.0,506.0,513.0,513.0,513.0,431.0,431.0,431.0,431.0,498.0,498.0,498.0,498.0,498.0,533.0,533.0,533.0,496.0,496.0,591.0,591.0,591.0,539.0,539.0,539.0,545.0,545.0,545.0,545.0,563.0,563.0,563.0,563.0,563.0,381.0,381.0,381.0,496.0,496.0,610.0,610.0,610.0,473.0,473.0,473.0,751.0,751.0,751.0,751.0,669.0,669.0,669.0,669.0,669.0,610.0,610.0,610.0,281.0,281.0,217.0,338.0,470.0,513.1555555555556,597.8222222222222,611.2222222222222,431.0,381.0,281.0
0,533.0,591.0,751.0,476.0,424.0,642.0,506.0,513.0,513.0,513.0,431.0,431.0,431.0,431.0,498.0,498.0,498.0,498.0,498.0,533.0,533.0,533.0,496.0,496.0,496.0,476.0,591.0,539.0,539.0,539.0,545.0,545.0,545.0,545.0,563.0,563.0,563.0,563.0,563.0,381.0,381.0,381.0,496.0,496.0,496.0,424.0,610.0,473.0,473.0,473.0,751.0,751.0,751.0,751.0,669.0,669.0,669.0,669.0,669.0,610.0,610.0,610.0,281.0,281.0,281.0,642.0,217.0,338.0,470.0,511.15555555555557,592.8,603.2,431.0,381.0,281.0
0,533.0,563.0,751.0,528.0,427.0,639.0,431.0,431.0,431.0,498.0,498.0,498.0,498.0,498.0,533.0,533.0,533.0,496.0,496.0,496.0,476.0,476.0,476.0,476.0,528.0,528.0,545.0,545.0,545.0,563.0,563.0,563.0,563.0,563.0,381.0,381.0,381.0,496.0,496.0,496.0,424.0,424.0,424.0,424.0,427.0,427.0,751.0,751.0,751.0,669.0,669.0,669.0,669.0,669.0,610.0,610.0,610.0,281.0,281.0,281.0,642.0,642.0,642.0,642.0,639.0,639.0,217.0,338.0,470.0,499.6222222222222,570.7777777777778,606.5333333333333,431.0,381.0,281.0
