,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
179,1555416709.084648,490.0,603.0,503.0,27.0,258.0,104.0,505.1,518.2
180,1555416709.1568706,512.0,580.0,470.0,27.0,233.0,124.0,505.5,526.25
181,1555416709.2289011,515.0,382.0,465.0,27.0,295.0,129.0,505.85,522.35
182,1555416709.3068185,521.0,407.0,515.0,31.0,295.0,129.0,506.85,517.65
183,1555416709.3936355,531.0,524.0,513.0,41.0,295.0,129.0,508.15,517.05
184,1555416709.4700701,503.0,458.0,513.0,41.0,295.0,129.0,507.45,514.9
185,1555416709.5685227,490.0,525.0,522.0,41.0,295.0,129.0,507.1,518.95
186,1555416709.6451964,515.0,632.0,490.0,41.0,295.0,129.0,507.6,525.8
187,1555416709.7247097,499.0,662.0,504.0,41.0,295.0,129.0,506.85,531.0
188,1555416709.7957733,472.0,737.0,548.0,59.0,355.0,129.0,505.15,541.35
189,1555416709.869561,504.0,715.0,560.0,59.0,355.0,129.0,505.05,554.55
190,1555416709.952804,495.0,606.0,643.0,59.0,355.0,178.0,504.55,561.65
191,1555416710.0317361,503.0,771.0,511.0,59.0,389.0,178.0,504.65,576.1
192,1555416710.1198463,493.0,566.0,525.0,59.0,389.0,178.0,504.35,581.5
193,1555416710.2016237,525.0,536.0,560.0,59.0,389.0,178.0,505.7,585.55
194,1555416710.2775333,508.0,459.0,592.0,59.0,389.0,178.0,505.3,580.3
195,1555416710.3490348,509.0,0.0,442.0,59.0,771.0,201.0,505.45,553.15
196,1555416710.4384954,510.0,45.0,441.0,59.0,771.0,202.0,505.1,526.8
197,1555416710.5096788,499.0,302.0,409.0,59.0,771.0,234.0,504.65,509.35
198,1555416710.5859702,518.0,495.0,594.0,59.0,771.0,234.0,505.6,500.25
199,1555416710.6740785,524.0,484.0,469.0,59.0,771.0,234.0,507.3,494.3
200,1555416710.772685,475.0,380.0,514.0,59.0,771.0,234.0,505.45,484.3
201,1555416710.8512125,492.0,439.0,907.0,59.0,771.0,498.0,504.3,487.15
202,1555416710.923897,509.0,498.0,554.0,59.0,771.0,498.0,503.7,491.7
203,1555416711.008629,520.0,448.0,312.0,53.0,771.0,595.0,503.15,487.9
204,1555416711.0830574,554.0,441.0,507.0,82.0,771.0,595.0,505.7,487.05
205,1555416711.1690698,600.0,549.0,320.0,128.0,771.0,595.0,511.2,488.25
206,1555416711.2629032,568.0,572.0,387.0,128.0,771.0,595.0,513.85,485.25
207,1555416711.3442645,509.0,862.0,540.0,128.0,862.0,595.0,514.35,495.25
208,1555416711.4179623,490.0,916.0,459.0,125.0,916.0,595.0,515.25,504.2
209,1555416711.4911578,492.0,719.0,458.0,125.0,916.0,595.0,514.65,504.4
210,1555416711.566334,455.0,515.0,473.0,145.0,916.0,595.0,512.65,499.85
211,1555416711.650758,478.0,534.0,495.0,145.0,916.0,595.0,511.4,488.0
212,1555416711.730861,472.0,532.0,518.0,145.0,916.0,595.0,510.35,486.3
213,1555416711.826489,487.0,396.0,526.0,145.0,916.0,595.0,508.45,479.3
214,1555416711.9000497,491.0,620.0,518.0,145.0,916.0,595.0,507.6,487.35
215,1555416711.999794,431.0,561.0,510.0,169.0,871.0,595.0,503.7,515.4
216,1555416712.081134,429.0,547.0,504.0,171.0,614.0,595.0,499.65,540.5
217,1555416712.1746314,468.0,472.0,481.0,171.0,536.0,595.0,498.1,549.0
218,1555416712.2727532,496.0,781.0,515.0,171.0,536.0,595.0,497.0,563.3
219,1555416712.364725,509.0,391.0,518.0,171.0,536.0,595.0,496.25,558.65
220,1555416712.4493506,529.0,475.0,527.0,171.0,525.0,595.0,498.95,563.4
221,1555416712.533349,566.0,682.0,506.0,171.0,525.0,242.0,502.65,575.55
222,1555416712.6188443,520.0,483.0,481.0,171.0,525.0,228.0,503.2,574.8
223,1555416712.702305,498.0,565.0,517.0,171.0,525.0,220.0,502.1,580.65
224,1555416712.7787323,523.0,518.0,477.0,171.0,525.0,220.0,500.55,584.5
225,1555416712.8480632,505.0,498.0,503.0,139.0,525.0,153.0,495.8,581.95
226,1555416712.9168696,488.0,527.0,515.0,137.0,525.0,82.0,491.8,579.7
227,1555416712.9960911,504.0,688.0,511.0,137.0,525.0,69.0,491.55,571.0
228,1555416713.0777416,497.0,668.0,540.0,137.0,390.0,82.0,491.9,558.6
229,1555416713.1771412,511.0,663.0,503.0,137.0,390.0,67.0,492.85,555.8
230,1555416713.2585945,521.0,795.0,491.0,137.0,404.0,63.0,496.15,569.8
231,1555416713.34004,522.0,715.0,513.0,137.0,404.0,63.0,498.35,578.85
232,1555416713.4199967,534.0,548.0,489.0,137.0,404.0,63.0,501.45,579.65
233,1555416713.5088336,530.0,450.0,511.0,137.0,404.0,63.0,503.6,582.35
