,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
36,1555413431.3095114,485.0,471.0,60.0,354.0,501.75,493.95
37,1555413431.3787837,527.0,507.0,60.0,354.0,502.3,494.9
38,1555413431.4470596,524.0,452.0,60.0,354.0,502.1,490.95
39,1555413431.5158892,518.0,598.0,50.0,354.0,501.15,493.75
40,1555413431.593122,509.0,498.0,50.0,354.0,501.65,495.9
41,1555413431.6628284,487.0,382.0,50.0,354.0,501.0,488.6
42,1555413431.7286174,496.0,370.0,50.0,354.0,500.1,477.2
43,1555413431.795159,491.0,355.0,50.0,266.0,499.05,460.3
44,1555413431.865739,508.0,393.0,50.0,266.0,499.3,450.1
45,1555413431.9339848,501.0,630.0,50.0,291.0,499.45,459.4
46,1555413432.0039349,517.0,504.0,50.0,291.0,501.35,466.75
47,1555413432.0792556,526.0,517.0,49.0,275.0,503.8,475.65
48,1555413432.1460373,508.0,463.0,44.0,275.0,505.3,479.75
49,1555413432.2220747,536.0,428.0,53.0,275.0,506.75,480.45
50,1555413432.2928963,485.0,382.0,53.0,275.0,505.1,475.3
51,1555413432.3605678,497.0,422.0,53.0,275.0,505.0,466.15
52,1555413432.4251492,517.0,501.0,53.0,275.0,505.35,465.45
53,1555413432.4927948,477.0,431.0,59.0,275.0,504.25,460.05
54,1555413432.5626862,509.0,462.0,59.0,275.0,505.55,460.4
55,1555413432.6374593,509.0,543.0,59.0,275.0,506.35,465.45
56,1555413432.711226,505.0,560.0,59.0,275.0,507.35,469.9
57,1555413432.788423,491.0,494.0,59.0,275.0,505.55,469.25
58,1555413432.8654544,499.0,671.0,59.0,316.0,504.3,480.2
59,1555413432.9321504,509.0,763.0,59.0,408.0,503.85,488.45
60,1555413433.007436,520.0,487.0,59.0,408.0,504.4,487.9
61,1555413433.0809674,520.0,526.0,59.0,408.0,506.05,495.1
62,1555413433.1598494,516.0,432.0,59.0,408.0,507.05,498.2
63,1555413433.235308,506.0,447.0,59.0,381.0,507.8,502.8
64,1555413433.3087792,521.0,424.0,59.0,381.0,508.45,504.35
65,1555413433.377617,537.0,503.0,60.0,381.0,510.25,498.0
66,1555413433.4507778,528.0,648.0,60.0,381.0,510.8,505.2
67,1555413433.533609,517.0,890.0,60.0,508.0,510.35,523.85
68,1555413433.650406,536.0,849.0,60.0,508.0,511.75,543.15
69,1555413433.731807,526.0,359.0,60.0,531.0,511.25,539.7
70,1555413433.8114738,520.0,361.0,60.0,531.0,513.0,538.65
71,1555413433.8911757,484.0,261.0,60.0,629.0,512.35,530.6
72,1555413433.9610443,495.0,263.0,60.0,629.0,511.25,518.7
73,1555413434.0366473,502.0,293.0,53.0,629.0,512.5,511.8
74,1555413434.1141188,488.0,501.0,53.0,629.0,511.45,513.75
75,1555413434.2140179,498.0,502.0,53.0,629.0,510.9,511.7
76,1555413434.2978086,486.0,372.0,53.0,629.0,509.95,502.3
77,1555413434.3666334,472.0,146.0,65.0,744.0,509.0,484.9
78,1555413434.439658,485.0,35.0,65.0,855.0,508.3,453.1
79,1555413434.519671,496.0,106.0,65.0,855.0,507.65,420.25
80,1555413434.599999,516.0,268.0,65.0,855.0,507.45,409.3
81,1555413434.6714134,485.0,271.0,65.0,855.0,505.7,396.55
82,1555413434.7465754,494.0,299.0,65.0,855.0,504.6,389.9
83,1555413434.8208003,506.0,437.0,65.0,855.0,504.6,389.4
84,1555413434.8944938,495.0,334.0,65.0,855.0,503.3,384.9
85,1555413434.9712992,496.0,388.0,64.0,855.0,501.25,379.15
86,1555413435.0564945,482.0,255.0,64.0,855.0,498.95,359.5
87,1555413435.1474662,499.0,320.0,64.0,814.0,498.05,331.0
88,1555413435.2423644,520.0,386.0,54.0,467.0,497.25,307.85
89,1555413435.3309238,559.0,645.0,87.0,610.0,498.9,322.15
90,1555413435.4106853,496.0,553.0,87.0,610.0,497.7,331.75
