,unixtime,emg0,emg1
92,1555408996.9499285,493.0,483.0
93,1555408997.002635,502.0,500.0
94,1555408997.0540562,487.0,491.0
95,1555408997.1065252,505.0,469.0
96,1555408997.1591332,550.0,474.0
97,1555408997.2168415,505.0,487.0
98,1555408997.2701888,518.0,521.0
99,1555408997.3253055,521.0,525.0
100,1555408997.3795488,523.0,485.0
101,1555408997.434329,515.0,538.0
102,1555408997.4865608,527.0,521.0
103,1555408997.5384607,517.0,496.0
104,1555408997.5907,520.0,423.0
105,1555408997.6436584,499.0,485.0
106,1555408997.699026,482.0,492.0
107,1555408997.7541695,505.0,512.0
108,1555408997.8099878,520.0,516.0
109,1555408997.8612835,516.0,550.0
110,1555408997.9137428,529.0,519.0
111,1555408997.9664383,529.0,519.0
112,1555408998.0200691,520.0,590.0
113,1555408998.0727196,490.0,519.0
114,1555408998.1247613,511.0,464.0
115,1555408998.1768901,498.0,486.0
116,1555408998.2308772,509.0,526.0
117,1555408998.2847013,491.0,514.0
118,1555408998.3414059,516.0,528.0
119,1555408998.3951015,526.0,486.0
120,1555408998.4468963,517.0,500.0
121,1555408998.499159,491.0,528.0
122,1555408998.5510304,501.0,470.0
123,1555408998.6061504,520.0,462.0
124,1555408998.6639655,531.0,466.0
125,1555408998.715615,483.0,520.0
126,1555408998.7746952,485.0,502.0
127,1555408998.82656,502.0,511.0
128,1555408998.8784041,528.0,467.0
129,1555408998.933148,542.0,511.0
130,1555408998.9866798,476.0,564.0
131,1555408999.0404592,537.0,536.0
132,1555408999.0939713,511.0,567.0
133,1555408999.1483078,483.0,522.0
134,1555408999.2030065,509.0,501.0
135,1555408999.254439,509.0,460.0
136,1555408999.306087,521.0,515.0
137,1555408999.359455,510.0,503.0
138,1555408999.4129596,473.0,525.0
139,1555408999.4670851,475.0,465.0
140,1555408999.5210073,508.0,481.0
141,1555408999.5883617,502.0,523.0
142,1555408999.6412237,502.0,523.0
143,1555408999.6960104,534.0,489.0
144,1555408999.7480772,488.0,532.0
145,1555408999.8000982,504.0,550.0
146,1555408999.8546643,523.0,457.0
147,1555408999.9061663,534.0,496.0
148,1555408999.9595327,520.0,534.0
149,1555409000.017436,512.0,474.0
150,1555409000.0704668,519.0,495.0
151,1555409000.130643,512.0,510.0
152,1555409000.1825914,543.0,476.0
153,1555409000.2361596,511.0,470.0
154,1555409000.2896128,511.0,470.0
155,1555409000.3422308,544.0,485.0
156,1555409000.393709,513.0,482.0
157,1555409000.4457607,463.0,519.0
158,1555409000.4988701,493.0,525.0
159,1555409000.550276,510.0,524.0
160,1555409000.6016233,503.0,490.0
161,1555409000.653072,504.0,529.0
162,1555409000.704431,514.0,533.0
163,1555409000.7561333,524.0,525.0
164,1555409000.8169808,502.0,478.0
165,1555409000.8684518,518.0,452.0
166,1555409000.920344,515.0,482.0
167,1555409000.9719748,507.0,509.0
168,1555409001.027486,486.0,515.0
169,1555409001.082624,486.0,515.0
170,1555409001.1364067,527.0,503.0
