,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2,emg_max_0,emg_max_1,emg_max_2
0,518.0,518.0,510.0,510.0,510.0,510.0,510.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,508.0,504.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,511.0,511.0,511.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,507.0,504.0,499.0,499.0,519.0,519.0,519.0,519.0,519.0,543.0,543.0,543.0,543.0,543.0,543.0,582.0,582.0,582.0,582.0,582.0,582.0,567.0,14.0,28.0,114.0,504.0,504.0,567.0,509.26666666666665,515.9777777777778,522.7111111111111,504.0,502.0,499.0,518.0,511.0,582.0
0,510.0,510.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,508.0,504.0,504.0,504.0,504.0,504.0,510.0,502.0,502.0,511.0,511.0,511.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,504.0,480.0,519.0,519.0,543.0,543.0,543.0,543.0,543.0,543.0,582.0,582.0,582.0,582.0,582.0,582.0,567.0,567.0,567.0,567.0,567.0,524.0,14.0,50.0,113.0,510.0,480.0,524.0,508.6,513.0222222222222,522.1555555555556,504.0,480.0,519.0,510.0,511.0,582.0
0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,508.0,504.0,504.0,504.0,504.0,504.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,504.0,480.0,480.0,480.0,480.0,480.0,491.0,491.0,543.0,543.0,582.0,582.0,582.0,582.0,582.0,582.0,567.0,567.0,567.0,567.0,567.0,524.0,524.0,524.0,524.0,524.0,465.0,465.0,14.0,48.0,117.0,512.0,491.0,465.0,508.8222222222222,506.97777777777776,521.6,504.0,480.0,465.0,512.0,511.0,582.0
0,508.0,508.0,508.0,504.0,504.0,504.0,504.0,504.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,504.0,480.0,480.0,480.0,480.0,480.0,491.0,491.0,491.0,491.0,491.0,496.0,496.0,582.0,582.0,582.0,567.0,567.0,567.0,567.0,567.0,524.0,524.0,524.0,524.0,524.0,465.0,465.0,465.0,465.0,465.0,409.0,409.0,14.0,42.0,173.0,509.0,496.0,409.0,509.1333333333333,503.4888888888889,518.0444444444445,504.0,480.0,409.0,512.0,507.0,582.0
0,504.0,504.0,504.0,504.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,507.0,507.0,504.0,504.0,504.0,504.0,480.0,480.0,480.0,480.0,480.0,491.0,491.0,491.0,491.0,491.0,496.0,496.0,496.0,496.0,503.0,503.0,567.0,567.0,567.0,567.0,524.0,524.0,524.0,524.0,524.0,465.0,465.0,465.0,465.0,465.0,409.0,409.0,409.0,409.0,393.0,393.0,14.0,42.0,189.0,507.0,503.0,393.0,509.3333333333333,501.4888888888889,511.2,504.0,480.0,393.0,512.0,504.0,567.0
0,504.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,511.0,511.0,504.0,480.0,480.0,480.0,480.0,480.0,491.0,491.0,491.0,491.0,491.0,496.0,496.0,496.0,503.0,503.0,503.0,503.0,487.0,487.0,567.0,524.0,524.0,524.0,524.0,524.0,465.0,465.0,465.0,465.0,465.0,409.0,409.0,409.0,393.0,393.0,393.0,393.0,418.0,418.0,14.0,31.0,189.0,511.0,487.0,418.0,509.26666666666665,500.1777777777778,505.4888888888889,504.0,480.0,393.0,512.0,504.0,567.0
0,510.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,509.0,509.0,480.0,491.0,491.0,491.0,491.0,491.0,496.0,496.0,496.0,496.0,503.0,503.0,503.0,503.0,487.0,487.0,487.0,487.0,483.0,483.0,524.0,465.0,465.0,465.0,465.0,465.0,409.0,409.0,409.0,409.0,393.0,393.0,393.0,393.0,418.0,418.0,418.0,418.0,447.0,447.0,8.0,31.0,189.0,509.0,483.0,447.0,508.5777777777778,497.8,497.3333333333333,507.0,480.0,393.0,512.0,503.0,524.0
0,512.0,512.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,510.0,510.0,491.0,491.0,496.0,496.0,496.0,496.0,503.0,503.0,503.0,503.0,487.0,487.0,487.0,487.0,483.0,483.0,483.0,483.0,486.0,486.0,465.0,465.0,409.0,409.0,409.0,409.0,393.0,393.0,393.0,393.0,418.0,418.0,418.0,418.0,447.0,447.0,447.0,447.0,478.0,478.0,8.0,31.0,189.0,510.0,486.0,478.0,508.53333333333336,496.24444444444447,492.31111111111113,507.0,483.0,393.0,512.0,503.0,478.0
0,509.0,509.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,496.0,496.0,503.0,503.0,503.0,503.0,487.0,487.0,487.0,487.0,483.0,483.0,483.0,483.0,486.0,486.0,486.0,486.0,510.0,510.0,409.0,409.0,393.0,393.0,393.0,393.0,418.0,418.0,418.0,418.0,447.0,447.0,447.0,447.0,478.0,478.0,478.0,478.0,521.0,521.0,8.0,31.0,189.0,512.0,510.0,521.0,508.8888888888889,495.0888888888889,488.44444444444446,507.0,483.0,393.0,512.0,510.0,521.0
0,507.0,507.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,508.0,508.0,503.0,503.0,487.0,487.0,487.0,487.0,483.0,483.0,483.0,483.0,486.0,486.0,486.0,486.0,510.0,510.0,510.0,510.0,500.0,500.0,393.0,393.0,418.0,418.0,418.0,418.0,447.0,447.0,447.0,447.0,478.0,478.0,478.0,478.0,521.0,521.0,521.0,521.0,563.0,563.0,8.0,30.0,189.0,508.0,500.0,563.0,509.1111111111111,494.73333333333335,486.6222222222222,507.0,483.0,393.0,512.0,510.0,563.0
0,511.0,511.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,510.0,510.0,487.0,487.0,483.0,483.0,483.0,483.0,486.0,486.0,486.0,486.0,510.0,510.0,510.0,510.0,500.0,500.0,500.0,500.0,510.0,510.0,418.0,418.0,447.0,447.0,447.0,447.0,478.0,478.0,478.0,478.0,521.0,521.0,521.0,521.0,563.0,563.0,563.0,563.0,563.0,563.0,8.0,30.0,174.0,510.0,510.0,563.0,509.2,494.55555555555554,484.93333333333334,508.0,483.0,418.0,512.0,510.0,563.0
0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,505.0,505.0,483.0,483.0,486.0,486.0,486.0,486.0,510.0,510.0,510.0,510.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,510.0,522.0,522.0,447.0,447.0,478.0,478.0,478.0,478.0,521.0,521.0,521.0,521.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,530.0,530.0,8.0,42.0,174.0,505.0,522.0,530.0,509.5111111111111,495.6222222222222,483.1111111111111,505.0,483.0,447.0,512.0,522.0,563.0
0,510.0,510.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,503.0,503.0,486.0,486.0,510.0,510.0,510.0,510.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,510.0,522.0,522.0,522.0,522.0,534.0,534.0,478.0,478.0,521.0,521.0,521.0,521.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,530.0,530.0,530.0,530.0,530.0,487.0,487.0,9.0,54.0,170.0,503.0,534.0,487.0,509.15555555555557,499.0888888888889,481.73333333333335,503.0,486.0,478.0,512.0,534.0,563.0
0,512.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,505.0,503.0,503.0,503.0,503.0,503.0,509.0,510.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,510.0,522.0,522.0,522.0,522.0,522.0,534.0,534.0,534.0,534.0,534.0,532.0,521.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,530.0,530.0,530.0,530.0,530.0,487.0,487.0,487.0,487.0,487.0,471.0,9.0,51.0,170.0,509.0,532.0,471.0,508.3777777777778,504.31111111111113,481.2,503.0,500.0,471.0,512.0,534.0,563.0
0,508.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,505.0,503.0,503.0,503.0,503.0,503.0,509.0,509.0,509.0,511.0,511.0,500.0,510.0,510.0,510.0,510.0,522.0,522.0,522.0,522.0,522.0,534.0,534.0,534.0,534.0,534.0,532.0,532.0,532.0,535.0,535.0,563.0,563.0,563.0,563.0,563.0,530.0,530.0,530.0,530.0,530.0,487.0,487.0,487.0,487.0,471.0,471.0,471.0,471.0,479.0,479.0,9.0,52.0,170.0,511.0,535.0,479.0,508.2888888888889,507.8,484.4,503.0,500.0,471.0,511.0,535.0,563.0
