,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2
0,506.0,471.0,535.0,505.97777777777776,490.22222222222223,523.7555555555556,506.0,476.0,535.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,501.0,501.0,501.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,506.0,506.0,476.0,469.0,469.0,469.0,469.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,469.0,469.0,469.0,469.0,469.0,471.0,471.0,472.0,456.0,456.0,456.0,456.0,508.0,508.0,508.0,508.0,508.0,518.0,518.0,518.0,534.0,534.0,534.0,534.0,534.0,535.0,535.0,13.0,73.0,198.0,501.0,464.0,456.0
0,505.0,481.0,564.0,505.22222222222223,483.4,519.2888888888889,506.0,481.0,564.0,501.0,501.0,501.0,501.0,501.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,506.0,505.0,505.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,469.0,469.0,469.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,481.0,481.0,508.0,508.0,508.0,508.0,508.0,518.0,518.0,518.0,534.0,534.0,534.0,534.0,534.0,535.0,535.0,535.0,535.0,535.0,564.0,564.0,13.0,70.0,198.0,501.0,464.0,508.0
0,509.0,488.0,531.0,504.8,479.02222222222224,513.2222222222222,509.0,488.0,564.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,464.0,464.0,464.0,469.0,469.0,469.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,481.0,481.0,481.0,481.0,481.0,488.0,488.0,518.0,518.0,518.0,534.0,534.0,534.0,534.0,534.0,535.0,535.0,535.0,535.0,535.0,564.0,564.0,564.0,564.0,564.0,531.0,531.0,8.0,45.0,141.0,503.0,464.0,518.0
0,507.0,502.0,518.0,504.8888888888889,477.2888888888889,511.6222222222222,509.0,502.0,564.0,504.0,504.0,506.0,506.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,481.0,481.0,481.0,481.0,481.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,534.0,534.0,535.0,535.0,535.0,535.0,535.0,564.0,564.0,564.0,564.0,564.0,531.0,531.0,531.0,531.0,531.0,531.0,518.0,518.0,8.0,38.0,141.0,504.0,469.0,518.0
0,512.0,515.0,509.0,505.2,478.3777777777778,514.2666666666667,512.0,515.0,564.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,512.0,512.0,471.0,471.0,471.0,481.0,481.0,481.0,481.0,481.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,502.0,502.0,515.0,515.0,535.0,535.0,535.0,564.0,564.0,564.0,564.0,564.0,531.0,531.0,531.0,531.0,531.0,531.0,518.0,518.0,518.0,518.0,509.0,509.0,11.0,51.0,141.0,505.0,471.0,509.0
0,510.0,525.0,572.0,505.84444444444443,482.02222222222224,521.4444444444445,512.0,525.0,572.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,510.0,510.0,481.0,481.0,481.0,481.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,502.0,502.0,515.0,515.0,515.0,515.0,525.0,525.0,564.0,564.0,564.0,564.0,531.0,531.0,531.0,531.0,531.0,531.0,518.0,518.0,518.0,518.0,509.0,509.0,509.0,509.0,572.0,572.0,11.0,61.0,116.0,505.0,481.0,509.0
0,520.0,538.0,569.0,506.6,486.97777777777776,530.9777777777778,520.0,538.0,572.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,520.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,502.0,502.0,515.0,515.0,515.0,515.0,525.0,525.0,525.0,525.0,525.0,538.0,531.0,531.0,531.0,531.0,531.0,531.0,518.0,518.0,518.0,518.0,509.0,509.0,509.0,509.0,572.0,572.0,572.0,572.0,572.0,569.0,19.0,74.0,116.0,507.0,488.0,509.0
0,512.0,546.0,524.0,507.55555555555554,491.8666666666667,536.3555555555556,520.0,546.0,572.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,520.0,520.0,520.0,512.0,488.0,488.0,488.0,502.0,502.0,502.0,502.0,515.0,515.0,515.0,515.0,525.0,525.0,525.0,525.0,525.0,538.0,538.0,538.0,546.0,531.0,531.0,531.0,518.0,518.0,518.0,518.0,509.0,509.0,509.0,509.0,572.0,572.0,572.0,572.0,572.0,569.0,569.0,569.0,524.0,19.0,82.0,64.0,507.0,488.0,509.0
0,514.0,550.0,476.0,508.6222222222222,499.3333333333333,535.6444444444444,520.0,550.0,572.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,520.0,520.0,520.0,512.0,512.0,512.0,514.0,514.0,502.0,502.0,502.0,515.0,515.0,515.0,515.0,525.0,525.0,525.0,525.0,525.0,538.0,538.0,538.0,546.0,546.0,546.0,550.0,550.0,518.0,518.0,518.0,509.0,509.0,509.0,509.0,572.0,572.0,572.0,572.0,572.0,569.0,569.0,569.0,524.0,524.0,524.0,476.0,476.0,17.0,86.0,96.0,507.0,502.0,476.0
0,506.0,568.0,459.0,509.22222222222223,507.6666666666667,530.8,520.0,568.0,572.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,520.0,520.0,520.0,512.0,512.0,512.0,514.0,514.0,514.0,514.0,506.0,506.0,515.0,515.0,515.0,525.0,525.0,525.0,525.0,525.0,538.0,538.0,538.0,546.0,546.0,546.0,550.0,550.0,550.0,550.0,568.0,568.0,509.0,509.0,509.0,572.0,572.0,572.0,572.0,572.0,569.0,569.0,569.0,524.0,524.0,524.0,476.0,476.0,476.0,476.0,459.0,459.0,16.0,99.0,113.0,506.0,515.0,459.0
