,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,510.46666666666664,500.76666666666665,509.1666666666667,510.0,477.0,508.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,512.0,508.0,513.0,500,500,500,2.0,31.0,5.0
0,511.73333333333335,481.1333333333333,512.3333333333334,512.0,477.0,513.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,514.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,528.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,510.0,510.0,512.0,477.0,513.0,500,500,500,2.0,31.0,5.0
0,513.1333333333333,505.9,511.3,512.0,477.0,510.0,512.0,512.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,477.0,477.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,513.0,513.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,514.0,528.0,513.0,500,500,500,2.0,51.0,3.0
0,512.2,527.4,508.4,511.0,517.0,503.0,514.0,514.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,528.0,528.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,510.0,510.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,514.0,532.0,516.0,500,500,500,3.0,15.0,13.0
0,511.0,521.5,512.5333333333333,511.0,517.0,516.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,511.0,517.0,516.0,500,500,500,0.0,15.0,13.0
0,509.93333333333334,488.43333333333334,515.1333333333333,509.0,460.0,513.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,460.0,460.0,460.0,460.0,460.0,460.0,516.0,516.0,516.0,516.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,513.0,513.0,513.0,513.0,513.0,513.0,511.0,517.0,516.0,500,500,500,2.0,57.0,3.0
0,509.53333333333336,477.03333333333336,514.5333333333333,509.0,460.0,513.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,509.0,465.0,515.0,500,500,500,2.0,57.0,3.0
0,508.6666666666667,467.6,512.5333333333333,506.0,460.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,506.0,506.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,503.0,503.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,503.0,513.0,500,500,500,1.0,16.0,4.0
0,506.96666666666664,488.2,507.56666666666666,506.0,476.0,494.0,508.0,508.0,508.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,476.0,476.0,476.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,494.0,494.0,494.0,494.0,494.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,494.0,494.0,494.0,494.0,494.0,508.0,503.0,511.0,500,500,500,3.0,43.0,19.0
0,506.4,494.0,503.4,506.0,494.0,494.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,506.0,503.0,509.0,500,500,500,2.0,27.0,17.0
0,509.46666666666664,511.0,498.93333333333334,506.0,494.0,494.0,506.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,516.0,516.0,516.0,516.0,516.0,494.0,494.0,494.0,494.0,494.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,527.0,527.0,527.0,527.0,527.0,494.0,494.0,494.0,494.0,494.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,516.0,528.0,508.0,500,500,500,10.0,34.0,15.0
0,514.1333333333333,525.2,504.0,513.0,527.0,499.0,513.0,513.0,513.0,513.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,528.0,528.0,528.0,528.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,512.0,512.0,512.0,512.0,516.0,528.0,512.0,500,500,500,10.0,34.0,18.0
0,515.7,527.1,509.1,516.0,527.0,508.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,508.0,508.0,508.0,508.0,508.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,516.0,527.0,512.0,500,500,500,3.0,1.0,13.0
0,511.6,507.4,513.6,506.0,493.0,512.0,516.0,516.0,514.0,514.0,514.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,527.0,527.0,497.0,497.0,497.0,497.0,497.0,497.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,512.0,512.0,514.0,514.0,514.0,514.0,514.0,514.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,516.0,527.0,515.0,500,500,500,10.0,34.0,3.0
0,503.6,495.1666666666667,514.5666666666667,500.0,493.0,514.0,506.0,506.0,506.0,506.0,506.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,493.0,493.0,493.0,493.0,493.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,506.0,498.0,515.0,500,500,500,6.0,5.0,1.0
0,499.4,498.9,512.2,498.0,498.0,508.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,500.0,501.0,514.0,500,500,500,2.0,3.0,6.0
0,498.46666666666664,505.1,509.8,498.0,501.0,508.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,498.0,525.0,510.0,500,500,500,2.0,27.0,6.0
0,498.0,516.2,509.26666666666665,498.0,501.0,508.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,508.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,498.0,525.0,510.0,500,500,500,0.0,24.0,2.0
0,499.73333333333335,521.9333333333333,508.1333333333333,498.0,508.0,500.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,505.0,505.0,505.0,505.0,505.0,505.0,525.0,525.0,525.0,525.0,525.0,525.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,508.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,500.0,500.0,500.0,500.0,500.0,500.0,505.0,525.0,510.0,500,500,500,7.0,17.0,10.0
