,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,510.3333333333333,363.93333333333334,463.53333333333336,511.0,348.0,446.0,511.0,645.0,446.0,511.0,645.0,482.0,2.0,368.0,41.0
0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,511.3333333333333,711.3,440.26666666666665,511.0,645.0,418.0,512.0,933.0,418.0,512.0,933.0,446.0,1.0,585.0,64.0
0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,933.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,512.0,956.7333333333333,435.8666666666667,512.0,933.0,418.0,512.0,1022.0,485.0,512.0,1022.0,485.0,0.0,89.0,67.0
0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,933.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,418.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,512.0,989.3666666666667,460.43333333333334,512.0,933.0,418.0,512.0,1022.0,485.0,512.0,1022.0,485.0,0.0,89.0,67.0
0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,495.0,495.0,495.0,495.0,495.0,511.73333333333335,1022.0,486.3333333333333,510.0,1022.0,485.0,510.0,1022.0,495.0,512.0,1022.0,495.0,2.0,0.0,10.0
0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,511.26666666666665,1021.8,518.0666666666667,510.0,1021.0,495.0,513.0,1021.0,627.0,513.0,1022.0,627.0,3.0,1.0,142.0
0,510.0,510.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,509.0,509.0,509.0,509.0,1022.0,1022.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,865.0,865.0,865.0,865.0,495.0,495.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,880.0,880.0,880.0,880.0,511.53333333333336,1011.0,591.0666666666667,509.0,865.0,495.0,509.0,865.0,880.0,513.0,1022.0,880.0,4.0,157.0,385.0
0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,740.0,740.0,740.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,863.0,863.0,863.0,511.26666666666665,969.1333333333333,693.7333333333333,509.0,865.0,627.0,509.0,865.0,880.0,513.0,1021.0,880.0,4.0,157.0,385.0
0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,425.0,425.0,425.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,746.0,746.0,746.0,509.73333333333335,835.6,797.9333333333333,508.0,425.0,746.0,509.0,425.0,746.0,509.0,865.0,880.0,5.0,596.0,253.0
0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,510.0,865.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,425.0,425.0,425.0,425.0,425.0,0.0,0.0,0.0,0.0,0.0,880.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,746.0,746.0,746.0,746.0,746.0,779.0,779.0,779.0,779.0,779.0,508.93333333333334,716.4,821.7333333333333,508.0,425.0,746.0,509.0,425.0,746.0,509.0,865.0,880.0,5.0,596.0,253.0
