,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
257,1555416173.8969193,511.0,502.0,411.0,6.0,13.0,147.0,509.9,509.75
258,1555416173.9666028,510.0,502.0,406.0,6.0,13.0,152.0,509.9,509.3
259,1555416174.049635,511.0,500.0,420.0,6.0,15.0,152.0,510.0,508.7
260,1555416174.1298378,510.0,503.0,463.0,6.0,15.0,152.0,510.05,508.5
261,1555416174.1995387,510.0,504.0,511.0,6.0,15.0,152.0,510.0,508.3
262,1555416174.270376,510.0,506.0,568.0,6.0,15.0,162.0,509.95,508.1
263,1555416174.3448784,510.0,508.0,608.0,6.0,15.0,202.0,509.9,508.1
264,1555416174.4252026,509.0,510.0,640.0,6.0,15.0,234.0,509.85,508.05
265,1555416174.5062828,511.0,509.0,628.0,6.0,15.0,234.0,510.0,507.8
266,1555416174.5926461,509.0,504.0,593.0,6.0,15.0,234.0,510.0,507.4
267,1555416174.6743195,511.0,509.0,496.0,6.0,15.0,234.0,510.0,507.45
268,1555416174.761973,511.0,508.0,468.0,4.0,15.0,234.0,509.9,507.6
269,1555416174.8404102,509.0,510.0,452.0,4.0,15.0,234.0,509.8,507.6
270,1555416174.9209082,508.0,511.0,454.0,4.0,15.0,234.0,509.65,507.75
271,1555416174.997757,509.0,516.0,443.0,4.0,16.0,234.0,509.6,508.0
272,1555416175.0718956,509.0,516.0,438.0,3.0,16.0,234.0,509.7,508.2
273,1555416175.158535,509.0,515.0,454.0,3.0,16.0,234.0,509.75,508.2
274,1555416175.2363172,509.0,508.0,485.0,3.0,16.0,234.0,509.8,507.9
275,1555416175.331618,509.0,500.0,551.0,3.0,16.0,234.0,509.8,507.35
276,1555416175.406437,509.0,500.0,569.0,3.0,16.0,234.0,509.7,507.05
277,1555416175.4763384,509.0,503.0,568.0,3.0,16.0,234.0,509.6,507.1
278,1555416175.5486987,506.0,503.0,568.0,5.0,16.0,220.0,509.4,507.15
279,1555416175.6347215,506.0,509.0,556.0,5.0,16.0,202.0,509.15,507.6
280,1555416175.7183745,508.0,510.0,540.0,5.0,16.0,202.0,509.05,507.95
281,1555416175.8028846,505.0,506.0,516.0,6.0,16.0,202.0,508.8,508.05
282,1555416175.90393,508.0,514.0,465.0,6.0,16.0,202.0,508.7,508.45
283,1555416175.976521,506.0,510.0,441.0,6.0,16.0,202.0,508.5,508.55
284,1555416176.046764,505.0,508.0,438.0,6.0,16.0,190.0,508.3,508.45
285,1555416176.1194296,505.0,511.0,466.0,6.0,16.0,155.0,508.0,508.55
286,1555416176.1948862,505.0,512.0,523.0,6.0,16.0,131.0,507.8,508.95
287,1555416176.2898827,507.0,515.0,539.0,6.0,16.0,131.0,507.6,509.25
288,1555416176.3736942,508.0,514.0,535.0,4.0,16.0,131.0,507.45,509.55
289,1555416176.455758,511.0,515.0,537.0,6.0,16.0,131.0,507.55,509.8
290,1555416176.5376291,513.0,513.0,539.0,8.0,16.0,131.0,507.8,509.9
291,1555416176.612815,511.0,511.0,561.0,8.0,16.0,131.0,507.9,509.65
292,1555416176.694697,511.0,513.0,602.0,8.0,15.0,164.0,508.0,509.5
293,1555416176.775801,512.0,511.0,605.0,8.0,15.0,167.0,508.15,509.3
294,1555416176.8538482,512.0,506.0,559.0,8.0,15.0,167.0,508.3,509.2
295,1555416176.9369247,514.0,503.0,505.0,9.0,15.0,167.0,508.55,509.35
296,1555416177.01831,513.0,506.0,445.0,9.0,12.0,167.0,508.75,509.65
297,1555416177.0999706,511.0,509.0,419.0,9.0,12.0,186.0,508.85,509.95
298,1555416177.1755686,509.0,509.0,409.0,9.0,12.0,196.0,509.0,510.25
299,1555416177.2476802,509.0,505.0,383.0,9.0,12.0,222.0,509.15,510.05
300,1555416177.332509,507.0,509.0,459.0,9.0,12.0,222.0,509.1,510.0
301,1555416177.4151013,508.0,514.0,469.0,9.0,12.0,222.0,509.25,510.4
302,1555416177.5065005,505.0,507.0,507.0,9.0,12.0,222.0,509.1,510.05
303,1555416177.5933619,505.0,511.0,543.0,9.0,12.0,222.0,509.05,510.1
304,1555416177.674669,510.0,506.0,574.0,9.0,12.0,222.0,509.3,510.0
305,1555416177.749568,509.0,505.0,578.0,9.0,12.0,222.0,509.5,509.7
306,1555416177.8307807,507.0,512.0,545.0,9.0,12.0,222.0,509.6,509.7
307,1555416177.9178257,507.0,510.0,494.0,9.0,12.0,222.0,509.6,509.45
308,1555416177.9996724,506.0,510.0,488.0,9.0,12.0,222.0,509.5,509.25
309,1555416178.0744686,507.0,516.0,495.0,9.0,13.0,222.0,509.3,509.3
310,1555416178.14896,509.0,512.0,479.0,9.0,13.0,222.0,509.1,509.25
311,1555416178.2255552,510.0,512.0,487.0,9.0,13.0,222.0,509.05,509.3
312,1555416178.306835,508.0,507.0,459.0,9.0,13.0,222.0,508.9,509.0
