,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
81,1555413202.0172365,497.0,500.0,83.0,96.0,509.7,514.65
82,1555413202.095253,499.0,518.0,83.0,96.0,510.0,515.0
83,1555413202.1735654,500.0,464.0,83.0,113.0,509.75,512.1
84,1555413202.248778,499.0,466.0,83.0,113.0,509.3,508.95
85,1555413202.321934,500.0,477.0,83.0,113.0,509.2,507.85
86,1555413202.4095583,497.0,507.0,83.0,113.0,507.95,507.8
87,1555413202.4853528,492.0,496.0,83.0,113.0,506.8,507.1
88,1555413202.5608647,491.0,568.0,83.0,113.0,505.75,509.85
89,1555413202.6394339,495.0,516.0,83.0,113.0,505.0,509.65
90,1555413202.7173815,503.0,497.0,83.0,113.0,504.65,508.65
91,1555413202.795307,511.0,469.0,83.0,113.0,504.25,508.05
92,1555413202.8766994,530.0,515.0,83.0,113.0,504.7,508.95
93,1555413202.9519436,533.0,520.0,54.0,104.0,503.25,506.1
94,1555413203.0278811,539.0,503.0,60.0,104.0,503.8,505.4
95,1555413203.1044986,541.0,513.0,62.0,104.0,504.9,505.45
96,1555413203.1920543,532.0,503.0,62.0,104.0,505.9,504.0
97,1555413203.2619646,527.0,504.0,62.0,104.0,507.3,502.75
98,1555413203.3483503,511.0,522.0,62.0,104.0,507.8,503.75
99,1555413203.4281952,530.0,512.0,62.0,104.0,510.3,504.15
100,1555413203.4972212,531.0,500.0,50.0,104.0,512.9,503.5
101,1555413203.604226,521.0,478.0,50.0,104.0,514.1,502.4
102,1555413203.688299,528.0,532.0,50.0,104.0,515.55,503.1
103,1555413203.7744784,534.0,542.0,50.0,102.0,517.25,507.0
104,1555413203.8433738,514.0,524.0,50.0,99.0,518.0,509.9
105,1555413203.9215128,512.0,528.0,50.0,99.0,518.6,512.45
106,1555413204.0059032,502.0,498.0,50.0,99.0,518.85,512.0
107,1555413204.0912457,498.0,487.0,50.0,99.0,519.15,511.55
108,1555413204.1645844,503.0,525.0,46.0,73.0,519.75,509.4
109,1555413204.2330508,504.0,495.0,43.0,73.0,520.2,508.35
110,1555413204.3110495,504.0,496.0,43.0,73.0,520.25,508.3
111,1555413204.390675,504.0,517.0,43.0,64.0,519.9,510.7
112,1555413204.473167,489.0,500.0,52.0,64.0,517.85,509.95
113,1555413204.5492475,501.0,502.0,52.0,64.0,516.25,509.05
114,1555413204.624702,496.0,496.0,52.0,64.0,514.1,508.7
115,1555413204.704277,486.0,497.0,48.0,64.0,511.35,507.9
116,1555413204.782411,487.0,522.0,48.0,64.0,509.1,508.85
117,1555413204.8633494,492.0,523.0,48.0,64.0,507.35,509.8
118,1555413204.9407358,497.0,495.0,48.0,64.0,506.65,508.45
119,1555413205.0187936,508.0,490.0,48.0,64.0,505.55,507.35
120,1555413205.1067715,515.0,523.0,48.0,64.0,504.75,508.5
121,1555413205.1811533,508.0,504.0,48.0,55.0,504.1,509.8
122,1555413205.2579908,500.0,521.0,48.0,55.0,502.7,509.25
123,1555413205.3307045,507.0,515.0,29.0,41.0,501.35,507.9
124,1555413205.412977,515.0,516.0,29.0,41.0,501.4,507.5
125,1555413205.495845,522.0,502.0,36.0,38.0,501.9,506.2
