,unixtime,emg0,emg1
177,1555408814.401423,517.0,512.0
178,1555408814.4529788,512.0,512.0
179,1555408814.5060496,506.0,507.0
180,1555408814.5599623,498.0,507.0
181,1555408814.6184702,503.0,505.0
182,1555408814.6699393,507.0,505.0
183,1555408814.7228093,504.0,507.0
184,1555408814.7756214,508.0,508.0
185,1555408814.827446,505.0,507.0
186,1555408814.8974974,487.0,505.0
187,1555408814.9498436,482.0,504.0
188,1555408815.002488,491.0,505.0
189,1555408815.0538738,502.0,506.0
190,1555408815.1058617,500.0,506.0
191,1555408815.170291,500.0,507.0
192,1555408815.2225664,508.0,507.0
193,1555408815.2769332,521.0,508.0
194,1555408815.3285944,529.0,509.0
195,1555408815.380771,530.0,510.0
196,1555408815.4326308,532.0,511.0
197,1555408815.487088,529.0,511.0
198,1555408815.5425425,523.0,511.0
199,1555408815.5964332,518.0,510.0
200,1555408815.650901,518.0,510.0
201,1555408815.7034636,512.0,507.0
202,1555408815.7548306,515.0,506.0
203,1555408815.806225,505.0,506.0
204,1555408815.8583128,514.0,509.0
205,1555408815.9127111,518.0,511.0
206,1555408815.969519,517.0,512.0
207,1555408816.0276558,522.0,513.0
208,1555408816.0794394,524.0,511.0
209,1555408816.1329467,520.0,509.0
210,1555408816.1845431,509.0,510.0
211,1555408816.2407436,504.0,507.0
212,1555408816.2935045,504.0,507.0
213,1555408816.3467448,500.0,508.0
214,1555408816.3982763,499.0,507.0
215,1555408816.4496267,495.0,507.0
216,1555408816.5014656,492.0,505.0
217,1555408816.5531113,497.0,506.0
218,1555408816.6094487,508.0,510.0
219,1555408816.6625,512.0,507.0
220,1555408816.7168834,511.0,509.0
221,1555408816.7690167,511.0,509.0
222,1555408816.8214462,514.0,508.0
223,1555408816.875211,500.0,511.0
224,1555408816.9266827,485.0,498.0
225,1555408816.978621,537.0,503.0
226,1555408817.0316336,473.0,522.0
227,1555408817.083134,580.0,519.0
228,1555408817.1345897,584.0,505.0
229,1555408817.1869993,430.0,511.0
230,1555408817.2409024,418.0,497.0
231,1555408817.2932286,502.0,505.0
232,1555408817.3506143,534.0,515.0
233,1555408817.410868,507.0,505.0
234,1555408817.4625366,479.0,498.0
235,1555408817.5282526,548.0,505.0
236,1555408817.5822277,601.0,506.0
237,1555408817.6377356,490.0,508.0
238,1555408817.6914556,453.0,511.0
239,1555408817.742912,488.0,512.0
240,1555408817.8016317,521.0,508.0
241,1555408817.8577383,487.0,506.0
242,1555408817.9105778,469.0,509.0
243,1555408817.9652588,491.0,509.0
244,1555408818.0171235,516.0,511.0
245,1555408818.0692582,508.0,512.0
246,1555408818.1239915,497.0,508.0
247,1555408818.1767244,514.0,507.0
248,1555408818.2307045,524.0,509.0
249,1555408818.2862825,511.0,510.0
250,1555408818.3394344,508.0,510.0
251,1555408818.3912013,515.0,508.0
252,1555408818.443596,515.0,507.0
253,1555408818.4973717,509.0,505.0
254,1555408818.5493245,509.0,507.0
255,1555408818.6019182,509.0,507.0
256,1555408818.655866,513.0,507.0
257,1555408818.7072551,508.0,509.0
258,1555408818.759233,497.0,509.0
259,1555408818.8158455,502.0,508.0
260,1555408818.8714015,507.0,510.0
261,1555408818.9236825,505.0,506.0
262,1555408818.976239,503.0,506.0
263,1555408819.0340984,510.0,505.0
264,1555408819.0858192,515.0,509.0
265,1555408819.1378424,508.0,507.0
266,1555408819.1899283,506.0,511.0
267,1555408819.2460032,511.0,509.0
268,1555408819.303372,515.0,508.0
269,1555408819.355875,507.0,509.0
270,1555408819.4076426,512.0,511.0
271,1555408819.4600096,516.0,508.0
272,1555408819.5133674,519.0,508.0
273,1555408819.567512,513.0,508.0
274,1555408819.6211774,518.0,507.0
275,1555408819.6775644,522.0,507.0
276,1555408819.731073,513.0,508.0
277,1555408819.7829137,505.0,508.0
278,1555408819.8353534,510.0,507.0
279,1555408819.8938098,520.0,505.0
280,1555408819.947113,524.0,504.0
281,1555408819.999867,524.0,504.0
282,1555408820.05526,526.0,504.0
283,1555408820.116025,551.0,509.0
284,1555408820.1674573,585.0,519.0
285,1555408820.218816,527.0,512.0
286,1555408820.273122,467.0,503.0
287,1555408820.3291721,469.0,503.0
288,1555408820.3823369,492.0,507.0
289,1555408820.437915,485.0,507.0
290,1555408820.48931,479.0,506.0
291,1555408820.540796,486.0,508.0
292,1555408820.6024034,493.0,506.0
293,1555408820.6547542,499.0,505.0
294,1555408820.7072103,499.0,506.0
295,1555408820.76189,510.0,508.0
296,1555408820.8142595,514.0,505.0
297,1555408820.8687978,514.0,505.0
298,1555408820.925576,515.0,506.0
299,1555408820.9779825,523.0,510.0
300,1555408821.0296788,520.0,510.0
301,1555408821.0850277,507.0,509.0
302,1555408821.1484494,509.0,508.0
303,1555408821.2054896,505.0,508.0
304,1555408821.260969,498.0,504.0
305,1555408821.314812,498.0,504.0
306,1555408821.3662484,509.0,498.0
307,1555408821.420624,517.0,496.0
308,1555408821.473183,508.0,500.0
309,1555408821.527979,524.0,507.0
310,1555408821.5818293,549.0,511.0
311,1555408821.633912,538.0,511.0
312,1555408821.6854906,510.0,515.0
313,1555408821.7368462,511.0,516.0
