,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,497.0,479.0,502.0,500,500,500,9.0,47.0,42.0,500.6,480.53333333333336,521.4,506.0,522.0,511.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,506.0,506.0,506.0,506.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,522.0,522.0,522.0,522.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,502.0,502.0,502.0,502.0
0,490.0,522.0,502.0,500,500,500,16.0,66.0,9.0,500.4,515.1333333333333,504.4,506.0,545.0,502.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0
0,479.0,545.0,502.0,500,500,500,27.0,31.0,35.0,486.8666666666667,546.9,513.6666666666666,490.0,553.0,537.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0
0,479.0,535.0,533.0,500,500,500,18.0,18.0,35.0,482.73333333333335,549.4666666666667,534.0,497.0,553.0,537.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,497.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,535.0,535.0,535.0,535.0,535.0,535.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,533.0,533.0,533.0,533.0,533.0,533.0
0,497.0,527.0,509.0,500,500,500,22.0,26.0,28.0,492.06666666666666,538.8666666666667,527.9333333333333,501.0,535.0,533.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0
0,497.0,516.0,509.0,500,500,500,4.0,19.0,24.0,499.4,525.1333333333333,513.2666666666667,501.0,527.0,513.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0
0,497.0,516.0,500.0,500,500,500,35.0,0.0,13.0,506.3333333333333,516.0,509.53333333333336,532.0,516.0,513.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0,523.0,494.0,492.0,500,500,500,9.0,22.0,8.0,529.9,510.8666666666667,498.1333333333333,532.0,516.0,500.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0
0,521.0,494.0,492.0,500,500,500,11.0,22.0,3.0,522.2666666666667,498.4,493.1,523.0,506.0,495.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0
0,521.0,473.0,495.0,500,500,500,3.0,33.0,14.0,521.5,500.5,497.3333333333333,524.0,506.0,509.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,524.0,524.0,524.0,524.0,524.0,524.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,473.0,473.0,473.0,473.0,473.0,473.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,509.0,509.0,509.0,509.0,509.0,509.0
