,unixtime,emg0,emg1
73,1555408872.8918982,515.0,566.0
74,1555408872.9438107,574.0,482.0
75,1555408872.9972718,512.0,570.0
76,1555408873.049458,434.0,538.0
77,1555408873.101637,466.0,553.0
78,1555408873.1534815,452.0,555.0
79,1555408873.205476,624.0,558.0
80,1555408873.2598476,551.0,509.0
81,1555408873.312944,509.0,613.0
82,1555408873.366147,509.0,613.0
83,1555408873.4181738,443.0,564.0
84,1555408873.4710836,490.0,439.0
85,1555408873.525728,581.0,547.0
86,1555408873.5776448,618.0,612.0
87,1555408873.6294122,512.0,527.0
88,1555408873.6827245,517.0,587.0
89,1555408873.7407157,517.0,587.0
90,1555408873.7946894,529.0,578.0
91,1555408873.8464847,505.0,545.0
92,1555408873.900059,505.0,545.0
93,1555408873.9532108,497.0,336.0
94,1555408874.0045538,499.0,450.0
95,1555408874.0573552,499.0,450.0
96,1555408874.1088908,549.0,545.0
97,1555408874.1626081,502.0,491.0
98,1555408874.2173193,602.0,432.0
99,1555408874.2686658,593.0,552.0
100,1555408874.321354,529.0,578.0
101,1555408874.3741717,505.0,545.0
102,1555408874.4270115,505.0,545.0
103,1555408874.4812195,497.0,336.0
104,1555408874.5383072,499.0,450.0
105,1555408874.590828,549.0,545.0
106,1555408874.6449246,502.0,491.0
107,1555408874.697393,502.0,491.0
108,1555408874.751569,602.0,432.0
109,1555408874.8029704,593.0,552.0
110,1555408874.85557,529.0,578.0
111,1555408874.9078605,505.0,545.0
112,1555408874.9646344,501.0,474.0
113,1555408875.016862,555.0,357.0
114,1555408875.0710452,539.0,587.0
115,1555408875.1300304,495.0,573.0
116,1555408875.1880448,591.0,212.0
117,1555408875.2404902,576.0,557.0
118,1555408875.2922702,500.0,410.0
119,1555408875.344333,456.0,463.0
120,1555408875.3970485,439.0,528.0
121,1555408875.4488266,452.0,583.0
122,1555408875.5047755,441.0,423.0
123,1555408875.5631535,501.0,631.0
124,1555408875.6156123,447.0,493.0
125,1555408875.6669428,522.0,566.0
126,1555408875.7182953,497.0,528.0
127,1555408875.7697215,555.0,462.0
128,1555408875.8220282,475.0,431.0
129,1555408875.8895426,464.0,490.0
130,1555408875.9438763,485.0,504.0
131,1555408875.9967167,519.0,392.0
132,1555408876.0512369,513.0,346.0
133,1555408876.1026163,483.0,539.0
134,1555408876.1552103,475.0,518.0
135,1555408876.2068589,510.0,419.0
136,1555408876.260988,538.0,485.0
137,1555408876.3139205,538.0,485.0
138,1555408876.3653731,517.0,476.0
139,1555408876.419413,493.0,467.0
140,1555408876.4712512,453.0,563.0
141,1555408876.5241659,501.0,501.0
142,1555408876.5769384,599.0,508.0
143,1555408876.6297936,554.0,474.0
144,1555408876.681879,518.0,511.0
145,1555408876.741243,561.0,465.0
146,1555408876.7976508,527.0,453.0
147,1555408876.849518,506.0,546.0
