,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,501.0,524.0,470.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,512.0,512.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,501.0,524.0,524.0,524.0,524.0,527.0,527.0,527.0,527.0,527.0,527.0,559.0,559.0,559.0,559.0,527.0,527.0,527.0,527.0,527.0,533.0,475.0,475.0,475.0,475.0,470.0,470.0,470.0,470.0,470.0,470.0,475.0,475.0,475.0,475.0,504.0,504.0,504.0,504.0,504.0,486.0,501.0,533.0,486.0,504.6666666666667,504.6222222222222,489.93333333333334,23.0,90.0,53.0,513.0,559.0,504.0
0,500.0,515.0,470.0,512.0,512.0,512.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,527.0,527.0,527.0,559.0,559.0,559.0,559.0,527.0,527.0,527.0,527.0,527.0,533.0,533.0,533.0,533.0,533.0,533.0,515.0,515.0,470.0,470.0,470.0,475.0,475.0,475.0,475.0,504.0,504.0,504.0,504.0,504.0,486.0,486.0,486.0,486.0,486.0,486.0,482.0,482.0,500.0,515.0,482.0,505.6666666666667,513.4666666666667,486.31111111111113,13.0,86.0,53.0,513.0,559.0,504.0
0,500.0,501.0,475.0,513.0,513.0,513.0,513.0,513.0,513.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,559.0,527.0,527.0,527.0,527.0,527.0,533.0,533.0,533.0,533.0,533.0,533.0,515.0,515.0,515.0,515.0,515.0,515.0,501.0,501.0,475.0,504.0,504.0,504.0,504.0,504.0,486.0,486.0,486.0,486.0,486.0,486.0,482.0,482.0,482.0,482.0,482.0,482.0,517.0,517.0,502.0,501.0,517.0,505.68888888888887,518.4444444444445,484.6,13.0,86.0,47.0,513.0,559.0,517.0
0,500.0,500.0,482.0,513.0,513.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,527.0,527.0,533.0,533.0,533.0,533.0,533.0,533.0,515.0,515.0,515.0,515.0,515.0,515.0,501.0,501.0,501.0,501.0,501.0,500.0,504.0,504.0,486.0,486.0,486.0,486.0,486.0,486.0,482.0,482.0,482.0,482.0,482.0,482.0,517.0,517.0,517.0,517.0,517.0,508.0,517.0,500.0,508.0,505.97777777777776,520.5555555555555,486.97777777777776,17.0,78.0,47.0,517.0,533.0,517.0
0,498.0,479.0,482.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,498.0,498.0,533.0,533.0,533.0,515.0,515.0,515.0,515.0,515.0,515.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,479.0,479.0,486.0,486.0,486.0,482.0,482.0,482.0,482.0,482.0,482.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,524.0,524.0,498.0,479.0,524.0,506.75555555555553,520.4888888888889,490.1777777777778,19.0,80.0,54.0,517.0,533.0,524.0
0,498.0,479.0,482.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,498.0,515.0,515.0,515.0,515.0,515.0,515.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,479.0,479.0,479.0,479.0,497.0,482.0,482.0,482.0,482.0,482.0,482.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,524.0,524.0,524.0,524.0,537.0,498.0,497.0,537.0,506.46666666666664,518.5555555555555,493.2888888888889,19.0,80.0,67.0,517.0,515.0,537.0
0,498.0,479.0,482.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,505.0,505.0,515.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,491.0,491.0,482.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,524.0,524.0,524.0,524.0,537.0,537.0,537.0,537.0,532.0,532.0,505.0,491.0,532.0,505.6666666666667,515.2222222222222,500.06666666666666,19.0,80.0,67.0,517.0,515.0,537.0
0,494.0,479.0,480.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,505.0,505.0,505.0,505.0,494.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,491.0,491.0,491.0,491.0,507.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,524.0,524.0,524.0,524.0,537.0,537.0,537.0,537.0,532.0,532.0,532.0,532.0,480.0,494.0,507.0,480.0,504.9555555555556,513.1777777777778,503.0444444444444,23.0,80.0,67.0,517.0,507.0,537.0
0,494.0,479.0,480.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,505.0,505.0,505.0,505.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,491.0,491.0,491.0,491.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,524.0,524.0,524.0,524.0,537.0,537.0,537.0,537.0,532.0,532.0,532.0,532.0,480.0,480.0,480.0,480.0,480.0,494.0,507.0,480.0,503.31111111111113,509.97777777777776,503.7111111111111,23.0,80.0,62.0,517.0,507.0,537.0
0,492.0,479.0,480.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,505.0,505.0,505.0,505.0,494.0,494.0,494.0,494.0,494.0,492.0,504.0,504.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,491.0,491.0,491.0,491.0,507.0,507.0,507.0,507.0,507.0,530.0,509.0,509.0,524.0,524.0,524.0,524.0,537.0,537.0,537.0,537.0,532.0,532.0,532.0,532.0,480.0,480.0,480.0,480.0,480.0,496.0,508.0,508.0,504.0,509.0,508.0,502.44444444444446,507.8222222222222,505.0,25.0,54.0,57.0,505.0,530.0,537.0
0,492.0,491.0,480.0,498.0,498.0,498.0,505.0,505.0,505.0,505.0,494.0,494.0,494.0,494.0,494.0,492.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,497.0,497.0,497.0,491.0,491.0,491.0,491.0,507.0,507.0,507.0,507.0,507.0,530.0,509.0,509.0,509.0,509.0,509.0,503.0,503.0,537.0,537.0,537.0,532.0,532.0,532.0,532.0,480.0,480.0,480.0,480.0,480.0,496.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,512.0,503.0,510.0,502.06666666666666,505.4222222222222,505.93333333333334,25.0,54.0,57.0,512.0,530.0,537.0
0,492.0,491.0,480.0,505.0,505.0,505.0,505.0,494.0,494.0,494.0,494.0,494.0,492.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,512.0,496.0,491.0,491.0,491.0,491.0,507.0,507.0,507.0,507.0,507.0,530.0,509.0,509.0,509.0,509.0,509.0,503.0,503.0,503.0,503.0,519.0,532.0,532.0,532.0,532.0,480.0,480.0,480.0,480.0,480.0,496.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,482.0,496.0,519.0,482.0,502.44444444444446,503.77777777777777,506.9111111111111,25.0,54.0,57.0,512.0,530.0,532.0
0,492.0,501.0,480.0,494.0,494.0,494.0,494.0,494.0,492.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,512.0,496.0,496.0,496.0,496.0,501.0,507.0,507.0,507.0,507.0,507.0,530.0,509.0,509.0,509.0,509.0,509.0,503.0,503.0,503.0,503.0,519.0,519.0,519.0,519.0,501.0,480.0,480.0,480.0,480.0,480.0,496.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,482.0,482.0,482.0,482.0,531.0,501.0,501.0,531.0,502.15555555555557,502.93333333333334,507.8222222222222,25.0,51.0,57.0,512.0,530.0,531.0
0,492.0,500.0,482.0,492.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,512.0,496.0,496.0,496.0,496.0,501.0,501.0,501.0,501.0,501.0,502.0,530.0,509.0,509.0,509.0,509.0,509.0,503.0,503.0,503.0,503.0,519.0,519.0,519.0,519.0,501.0,501.0,501.0,501.0,501.0,500.0,496.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,510.0,510.0,482.0,482.0,482.0,482.0,531.0,531.0,531.0,531.0,531.0,506.0,502.0,500.0,506.0,502.24444444444447,501.6666666666667,511.93333333333334,25.0,51.0,57.0,512.0,530.0,531.0
0,496.0,500.0,482.0,504.0,504.0,512.0,512.0,512.0,496.0,496.0,496.0,496.0,501.0,501.0,501.0,501.0,501.0,502.0,502.0,502.0,502.0,502.0,514.0,509.0,509.0,503.0,503.0,503.0,519.0,519.0,519.0,519.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,481.0,508.0,510.0,510.0,510.0,510.0,482.0,482.0,482.0,482.0,531.0,531.0,531.0,531.0,531.0,506.0,506.0,506.0,506.0,506.0,486.0,502.0,500.0,506.0,502.24444444444447,501.5777777777778,510.9555555555556,25.0,51.0,57.0,512.0,519.0,531.0
0,496.0,481.0,482.0,512.0,512.0,496.0,496.0,496.0,496.0,501.0,501.0,501.0,501.0,501.0,502.0,502.0,502.0,502.0,502.0,514.0,514.0,509.0,509.0,503.0,503.0,519.0,519.0,519.0,519.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,481.0,481.0,492.0,492.0,510.0,510.0,482.0,482.0,482.0,482.0,531.0,531.0,531.0,531.0,531.0,506.0,506.0,506.0,506.0,506.0,486.0,486.0,535.0,535.0,509.0,492.0,535.0,501.75555555555553,500.3777777777778,511.1777777777778,22.0,51.0,57.0,514.0,519.0,535.0
0,496.0,481.0,482.0,496.0,496.0,496.0,501.0,501.0,501.0,501.0,501.0,502.0,502.0,502.0,502.0,502.0,514.0,514.0,509.0,509.0,509.0,500.0,500.0,519.0,519.0,519.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,481.0,481.0,492.0,492.0,492.0,483.0,483.0,482.0,482.0,482.0,531.0,531.0,531.0,531.0,531.0,506.0,506.0,506.0,506.0,506.0,486.0,486.0,535.0,535.0,535.0,498.0,498.0,500.0,483.0,498.0,502.0888888888889,500.84444444444443,510.26666666666665,22.0,51.0,57.0,514.0,519.0,535.0
