,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
45,1555416504.255195,551.0,510.0,690.0,225.0,202.0,253.0,513.45,515.7
46,1555416504.3368332,495.0,539.0,607.0,225.0,202.0,253.0,511.35,515.2
47,1555416504.4046862,499.0,455.0,436.0,225.0,202.0,261.0,510.25,513.9
48,1555416504.4763925,542.0,615.0,562.0,225.0,202.0,261.0,512.1,517.25
49,1555416504.5733147,540.0,593.0,594.0,225.0,202.0,261.0,513.5,520.95
50,1555416504.649382,556.0,573.0,536.0,225.0,202.0,261.0,514.7,521.8
51,1555416504.7229848,481.0,381.0,477.0,225.0,246.0,261.0,512.2,511.75
52,1555416504.8001597,500.0,483.0,553.0,225.0,246.0,261.0,514.25,510.05
53,1555416504.8771493,472.0,574.0,571.0,225.0,246.0,261.0,513.15,510.75
54,1555416504.9548578,527.0,508.0,508.0,225.0,246.0,261.0,513.45,510.35
55,1555416505.034054,507.0,379.0,491.0,225.0,248.0,261.0,513.65,505.8
56,1555416505.1114447,513.0,454.0,491.0,225.0,248.0,261.0,513.9,506.75
57,1555416505.1812854,529.0,579.0,506.0,225.0,248.0,261.0,514.55,509.45
58,1555416505.2710094,515.0,496.0,513.0,225.0,248.0,261.0,515.95,509.4
59,1555416505.3413138,494.0,421.0,547.0,162.0,248.0,261.0,520.2,509.2
60,1555416505.4125993,501.0,463.0,564.0,162.0,248.0,261.0,520.25,505.0
61,1555416505.4897532,496.0,565.0,586.0,84.0,248.0,261.0,513.35,507.95
62,1555416505.579987,518.0,440.0,473.0,84.0,236.0,254.0,511.8,498.6
63,1555416505.6650655,508.0,452.0,581.0,84.0,236.0,254.0,512.65,497.8
64,1555416505.7443447,503.0,483.0,534.0,84.0,236.0,254.0,512.35,498.15
65,1555416505.8217947,491.0,559.0,519.0,84.0,236.0,171.0,509.35,500.6
66,1555416505.8914475,527.0,488.0,506.0,84.0,236.0,158.0,510.95,498.05
67,1555416505.9756541,513.0,571.0,489.0,84.0,236.0,121.0,511.65,503.85
68,1555416506.047305,510.0,526.0,462.0,84.0,214.0,132.0,510.05,499.4
69,1555416506.1302547,493.0,593.0,471.0,84.0,214.0,124.0,507.7,499.4
70,1555416506.2161021,481.0,432.0,515.0,57.0,214.0,124.0,503.95,492.35
71,1555416506.3030584,525.0,511.0,540.0,57.0,214.0,124.0,506.15,498.85
72,1555416506.3925881,530.0,539.0,489.0,58.0,214.0,124.0,507.65,501.65
73,1555416506.4680738,511.0,486.0,477.0,49.0,214.0,124.0,509.6,497.25
74,1555416506.5369167,522.0,550.0,486.0,49.0,214.0,124.0,509.35,499.35
75,1555416506.6074657,480.0,435.0,519.0,50.0,172.0,124.0,508.0,502.15
76,1555416506.6880941,523.0,541.0,554.0,50.0,172.0,124.0,508.5,506.5
77,1555416506.7617648,493.0,461.0,461.0,50.0,172.0,125.0,506.7,500.6
78,1555416506.844726,485.0,481.0,467.0,50.0,172.0,125.0,505.2,499.85
79,1555416506.922238,502.0,463.0,546.0,50.0,161.0,125.0,505.6,501.95
80,1555416507.0067146,492.0,482.0,530.0,50.0,161.0,125.0,505.15,502.9
81,1555416507.0805423,487.0,500.0,544.0,50.0,161.0,120.0,504.7,499.65
82,1555416507.1531522,509.0,512.0,539.0,50.0,161.0,120.0,504.25,503.25
83,1555416507.2238207,510.0,514.0,478.0,50.0,161.0,93.0,504.35,506.35
84,1555416507.3006978,512.0,454.0,483.0,50.0,161.0,93.0,504.8,504.9
85,1555416507.379954,484.0,459.0,453.0,50.0,161.0,101.0,504.45,499.9
86,1555416507.4575293,515.0,615.0,576.0,50.0,183.0,123.0,503.85,506.25
87,1555416507.5374036,513.0,523.0,537.0,50.0,183.0,123.0,503.85,503.85
88,1555416507.6254516,516.0,518.0,519.0,50.0,183.0,123.0,504.15,503.45
89,1555416507.6971543,477.0,511.0,619.0,53.0,183.0,166.0,503.35,499.35
90,1555416507.7787764,521.0,480.0,534.0,53.0,180.0,166.0,505.35,501.75
91,1555416507.858319,521.0,578.0,487.0,53.0,180.0,166.0,505.15,505.1
