,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
177,1555413321.3870132,463.0,708.0,299.0,634.0,516.8,534.15
178,1555413321.4593284,573.0,509.0,299.0,634.0,515.3,517.8
179,1555413321.5421739,604.0,332.0,299.0,634.0,524.05,500.65
180,1555413321.637517,503.0,247.0,299.0,634.0,528.85,488.8
181,1555413321.7136264,512.0,484.0,299.0,634.0,523.6,491.4
182,1555413321.7978017,473.0,491.0,299.0,595.0,514.6,505.55
183,1555413321.89424,449.0,575.0,299.0,595.0,509.7,506.95
184,1555413321.9760633,431.0,653.0,299.0,595.0,506.4,503.3
185,1555413322.0472467,475.0,555.0,299.0,461.0,502.65,488.95
186,1555413322.1159425,520.0,419.0,299.0,461.0,503.05,485.2
187,1555413322.186781,588.0,386.0,222.0,461.0,514.75,469.7
188,1555413322.25778,564.0,424.0,222.0,461.0,520.9,470.7
189,1555413322.3278544,416.0,479.0,237.0,461.0,516.0,473.9
190,1555413322.4024355,387.0,499.0,266.0,461.0,504.2,476.55
191,1555413322.4761658,435.0,669.0,217.0,461.0,493.3,493.1
192,1555413322.5590253,517.0,561.0,217.0,461.0,492.25,501.2
193,1555413322.6365023,496.0,672.0,217.0,461.0,491.95,514.95
194,1555413322.7115452,390.0,507.0,217.0,461.0,487.75,514.7
195,1555413322.7893093,401.0,547.0,217.0,461.0,482.4,512.9
196,1555413322.8654156,514.0,418.0,217.0,461.0,485.55,506.75
197,1555413322.945014,543.0,700.0,217.0,453.0,489.55,506.35
198,1555413323.022651,547.0,742.0,217.0,495.0,488.25,518.0
199,1555413323.1073527,524.0,511.0,201.0,495.0,484.25,526.95
200,1555413323.1856267,549.0,613.0,201.0,356.0,486.55,545.25
201,1555413323.2672615,445.0,552.0,201.0,356.0,483.2,548.65
202,1555413323.3387125,477.0,531.0,201.0,356.0,483.4,550.65
203,1555413323.4170704,476.0,462.0,201.0,356.0,484.75,545.0
204,1555413323.5046477,486.0,616.0,201.0,356.0,487.5,543.15
205,1555413323.5802615,514.0,327.0,201.0,415.0,489.45,531.75
206,1555413323.65892,542.0,240.0,201.0,502.0,490.55,522.8
207,1555413323.74333,396.0,267.0,177.0,502.0,480.95,516.85
208,1555413323.833583,430.0,696.0,162.0,502.0,474.25,530.45
209,1555413323.9137104,515.0,696.0,162.0,502.0,479.2,541.3
210,1555413323.9934974,485.0,722.0,159.0,502.0,484.1,552.45
211,1555413324.070025,544.0,492.0,159.0,502.0,489.55,543.6
212,1555413324.1439903,554.0,246.0,164.0,502.0,491.4,527.85
213,1555413324.218732,481.0,142.0,164.0,600.0,490.65,501.35
214,1555413324.2972288,481.0,142.0,158.0,600.0,495.2,483.1
215,1555413324.3755398,481.0,142.0,158.0,600.0,499.2,462.85
216,1555413324.4476447,522.0,433.0,158.0,600.0,499.6,463.6
217,1555413324.5320728,477.0,383.0,158.0,600.0,496.3,447.75
218,1555413324.624165,538.0,338.0,158.0,580.0,495.85,427.55
219,1555413324.6975868,553.0,548.0,158.0,580.0,497.3,429.4
220,1555413324.7665136,490.0,369.0,158.0,580.0,494.35,417.2
221,1555413324.8364828,477.0,451.0,158.0,580.0,495.95,412.15
222,1555413324.9148893,455.0,545.0,158.0,580.0,494.85,412.85
223,1555413324.9823875,490.0,416.0,158.0,580.0,495.55,410.55
224,1555413325.0499616,489.0,440.0,158.0,580.0,495.7,401.75
225,1555413325.1193197,482.0,422.0,158.0,580.0,494.1,406.5
226,1555413325.198107,475.0,445.0,158.0,580.0,490.75,416.75
227,1555413325.27335,489.0,463.0,124.0,580.0,495.4,426.55
228,1555413325.3468187,514.0,393.0,99.0,580.0,499.6,411.4
229,1555413325.431686,512.0,405.0,99.0,580.0,499.45,396.85
230,1555413325.5162268,488.0,632.0,99.0,490.0,499.6,392.35
231,1555413325.600425,472.0,340.0,99.0,490.0,496.0,384.75
232,1555413325.6725066,500.0,512.0,98.0,490.0,493.3,398.05
