,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2
0,93.0,192.0,55.0,427.0,241.0,506.0,469.3333333333333,323.6666666666667,531.9333333333333,427.0,427.0,427.0,427.0,427.0,427.0,427.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,500,500,500,520.0,417.0,555.0
0,93.0,183.0,49.0,495.0,416.0,506.0,491.8333333333333,377.53333333333336,519.3,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,495.0,495.0,495.0,495.0,495.0,495.0,501.0,501.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,424.0,424.0,424.0,424.0,424.0,424.0,416.0,416.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,509.0,541.0,541.0,500,500,500,520.0,424.0,541.0
0,25.0,123.0,35.0,495.0,416.0,509.0,503.26666666666665,434.46666666666664,523.3333333333334,495.0,495.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,500.0,424.0,424.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,539.0,539.0,539.0,539.0,539.0,539.0,509.0,509.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,517.0,517.0,517.0,517.0,517.0,517.0,500,500,500,501.0,539.0,541.0
0,2.0,123.0,24.0,500.0,447.0,517.0,500.8333333333333,477.56666666666666,525.2666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,500,500,500,502.0,539.0,521.0
0,6.0,92.0,42.0,496.0,447.0,479.0,499.8,472.2,506.6,502.0,502.0,502.0,502.0,502.0,502.0,502.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,500,500,500,502.0,495.0,521.0
0,21.0,81.0,43.0,481.0,495.0,479.0,493.4,498.4,490.4,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,500,500,500,496.0,528.0,522.0
0,24.0,95.0,64.0,481.0,433.0,522.0,486.7,509.8333333333333,517.6333333333333,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,505.0,505.0,505.0,505.0,505.0,505.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,433.0,433.0,433.0,433.0,433.0,433.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,543.0,543.0,543.0,543.0,543.0,543.0,500,500,500,505.0,528.0,543.0
0,24.0,213.0,54.0,481.0,433.0,489.0,494.3333333333333,485.2,531.0,481.0,481.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,489.0,489.0,489.0,528.0,528.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,646.0,646.0,646.0,522.0,522.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,489.0,489.0,489.0,500,500,500,505.0,646.0,543.0
0,24.0,213.0,54.0,489.0,433.0,489.0,498.26666666666665,516.2666666666667,519.6666666666666,505.0,505.0,505.0,505.0,505.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,499.0,499.0,499.0,499.0,499.0,499.0,433.0,433.0,433.0,433.0,433.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,524.0,524.0,524.0,524.0,524.0,524.0,543.0,543.0,543.0,543.0,543.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,503.0,503.0,503.0,503.0,503.0,503.0,500,500,500,505.0,646.0,543.0
0,39.0,122.0,19.0,499.0,524.0,503.0,501.8,560.9666666666667,501.06666666666666,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,500,500,500,528.0,543.0,508.0
