,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_min_0,emg_min_1,emg_min_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,510.0,518.0,525.0,508.0,518.0,525.0,509.0888888888889,503.2,496.3333333333333,508.0,508.0,509.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,506.0,506.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,513.0,513.0,513.0,513.0,513.0,513.0,518.0,518.0,485.0,485.0,491.0,491.0,491.0,491.0,491.0,509.0,509.0,509.0,509.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,525.0,525.0,508.0,506.0,485.0,9.0,36.0,41.0
0,510.0,518.0,532.0,509.0,513.0,532.0,509.53333333333336,506.84444444444443,501.1777777777778,509.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,517.0,513.0,513.0,513.0,513.0,513.0,513.0,518.0,518.0,518.0,518.0,518.0,518.0,513.0,513.0,491.0,509.0,509.0,509.0,509.0,509.0,519.0,519.0,519.0,519.0,519.0,519.0,525.0,525.0,525.0,525.0,525.0,525.0,532.0,532.0,508.0,513.0,491.0,7.0,36.0,48.0
0,510.0,518.0,540.0,504.0,508.0,540.0,508.7111111111111,510.53333333333336,506.8,510.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,513.0,513.0,513.0,513.0,513.0,513.0,518.0,518.0,518.0,518.0,518.0,518.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,519.0,519.0,519.0,519.0,519.0,519.0,525.0,525.0,525.0,525.0,525.0,525.0,532.0,532.0,532.0,532.0,532.0,532.0,540.0,540.0,504.0,508.0,519.0,7.0,26.0,56.0
0,512.0,518.0,540.0,512.0,502.0,539.0,508.26666666666665,511.8222222222222,511.6666666666667,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,512.0,513.0,513.0,518.0,518.0,518.0,518.0,518.0,518.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,502.0,519.0,519.0,525.0,525.0,525.0,525.0,525.0,525.0,532.0,532.0,532.0,532.0,532.0,532.0,540.0,540.0,540.0,540.0,540.0,539.0,504.0,502.0,519.0,8.0,16.0,56.0
0,512.0,518.0,540.0,511.0,501.0,537.0,508.6666666666667,511.6,516.4666666666667,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,511.0,511.0,518.0,518.0,518.0,518.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,501.0,501.0,525.0,525.0,525.0,525.0,532.0,532.0,532.0,532.0,532.0,532.0,540.0,540.0,540.0,540.0,540.0,539.0,539.0,539.0,537.0,537.0,504.0,501.0,525.0,8.0,17.0,56.0
0,512.0,513.0,540.0,506.0,498.0,512.0,508.73333333333335,511.06666666666666,520.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,511.0,511.0,511.0,511.0,506.0,506.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,498.0,498.0,532.0,532.0,532.0,532.0,532.0,532.0,540.0,540.0,540.0,540.0,540.0,539.0,539.0,539.0,537.0,537.0,537.0,537.0,512.0,512.0,504.0,498.0,512.0,8.0,20.0,55.0
0,512.0,513.0,540.0,509.0,504.0,519.0,508.73333333333335,510.8,522.1111111111111,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,511.0,511.0,511.0,511.0,506.0,506.0,506.0,509.0,509.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,498.0,498.0,498.0,504.0,504.0,532.0,532.0,532.0,540.0,540.0,540.0,540.0,540.0,539.0,539.0,539.0,537.0,537.0,537.0,537.0,512.0,512.0,512.0,519.0,519.0,504.0,498.0,512.0,8.0,20.0,49.0
0,513.0,512.0,540.0,513.0,512.0,521.0,508.8222222222222,509.8222222222222,524.6444444444444,504.0,504.0,504.0,504.0,512.0,512.0,512.0,511.0,511.0,511.0,511.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,513.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,498.0,498.0,498.0,504.0,504.0,504.0,504.0,504.0,512.0,540.0,540.0,540.0,540.0,539.0,539.0,539.0,537.0,537.0,537.0,537.0,512.0,512.0,512.0,519.0,519.0,519.0,519.0,519.0,521.0,504.0,498.0,512.0,9.0,20.0,49.0
0,513.0,512.0,539.0,504.0,512.0,518.0,508.77777777777777,509.26666666666665,526.2444444444444,512.0,512.0,511.0,511.0,511.0,511.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,504.0,504.0,502.0,502.0,501.0,501.0,501.0,501.0,498.0,498.0,498.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,512.0,512.0,512.0,539.0,539.0,537.0,537.0,537.0,537.0,512.0,512.0,512.0,519.0,519.0,519.0,519.0,519.0,521.0,521.0,521.0,521.0,518.0,518.0,504.0,498.0,512.0,9.0,20.0,31.0
0,513.0,512.0,537.0,503.0,506.0,507.0,508.06666666666666,508.8,525.8666666666667,511.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,504.0,504.0,504.0,504.0,504.0,503.0,503.0,501.0,498.0,498.0,498.0,504.0,504.0,504.0,504.0,504.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,506.0,506.0,537.0,512.0,512.0,512.0,519.0,519.0,519.0,519.0,519.0,521.0,521.0,521.0,521.0,518.0,518.0,518.0,518.0,518.0,507.0,507.0,503.0,498.0,507.0,10.0,20.0,33.0
