,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,507.4222222222222,481.97777777777776,512.9111111111112,512.0,463.0,494.0,499.0,452.0,494.0,15.0,106.0,40.0,512.0,463.0,508.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,511.0,511.0,511.0,511.0,499.0,499.0,499.0,502.0,502.0,502.0,502.0,512.0,458.0,458.0,458.0,458.0,456.0,456.0,456.0,456.0,452.0,452.0,452.0,452.0,461.0,461.0,461.0,457.0,457.0,457.0,457.0,463.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,494.0
0,507.68888888888887,476.75555555555553,510.1777777777778,513.0,471.0,490.0,499.0,452.0,490.0,15.0,85.0,44.0,513.0,471.0,508.0,509.0,504.0,504.0,504.0,504.0,511.0,511.0,511.0,511.0,499.0,499.0,499.0,502.0,502.0,502.0,502.0,512.0,512.0,512.0,513.0,458.0,456.0,456.0,456.0,456.0,452.0,452.0,452.0,452.0,461.0,461.0,461.0,457.0,457.0,457.0,457.0,463.0,463.0,463.0,471.0,508.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,490.0
0,508.0,472.73333333333335,507.31111111111113,509.0,488.0,493.0,499.0,452.0,490.0,15.0,62.0,37.0,513.0,488.0,505.0,504.0,504.0,511.0,511.0,511.0,511.0,499.0,499.0,499.0,502.0,502.0,502.0,502.0,512.0,512.0,512.0,513.0,513.0,513.0,509.0,456.0,456.0,452.0,452.0,452.0,452.0,461.0,461.0,461.0,457.0,457.0,457.0,457.0,463.0,463.0,463.0,471.0,471.0,471.0,488.0,502.0,502.0,497.0,497.0,497.0,497.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,490.0,490.0,490.0,493.0
0,507.77777777777777,471.5777777777778,505.8,509.0,488.0,493.0,499.0,452.0,490.0,15.0,62.0,37.0,513.0,488.0,505.0,511.0,511.0,511.0,511.0,499.0,499.0,499.0,502.0,502.0,502.0,502.0,512.0,512.0,512.0,513.0,513.0,513.0,509.0,509.0,509.0,452.0,452.0,452.0,452.0,461.0,461.0,461.0,457.0,457.0,457.0,457.0,463.0,463.0,463.0,471.0,471.0,471.0,488.0,488.0,488.0,497.0,497.0,497.0,497.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,490.0,490.0,490.0,493.0,493.0,493.0
0,507.77777777777777,471.9111111111111,502.93333333333334,514.0,517.0,500.0,499.0,457.0,490.0,15.0,65.0,35.0,514.0,517.0,505.0,499.0,499.0,502.0,502.0,502.0,502.0,512.0,512.0,512.0,513.0,513.0,513.0,509.0,509.0,509.0,512.0,512.0,512.0,514.0,514.0,461.0,461.0,457.0,457.0,457.0,457.0,463.0,463.0,463.0,471.0,471.0,471.0,488.0,488.0,488.0,503.0,503.0,503.0,517.0,517.0,505.0,505.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,490.0,490.0,490.0,493.0,493.0,493.0,500.0,500.0,500.0,500.0,500.0
0,508.55555555555554,474.8222222222222,501.46666666666664,520.0,532.0,508.0,502.0,457.0,490.0,21.0,80.0,29.0,520.0,532.0,508.0,502.0,502.0,512.0,512.0,512.0,513.0,513.0,513.0,509.0,509.0,509.0,512.0,512.0,512.0,514.0,514.0,514.0,514.0,520.0,520.0,457.0,457.0,463.0,463.0,463.0,471.0,471.0,471.0,488.0,488.0,488.0,503.0,503.0,503.0,517.0,517.0,517.0,517.0,532.0,532.0,499.0,499.0,494.0,494.0,494.0,490.0,490.0,490.0,493.0,493.0,493.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0
0,509.31111111111113,479.9111111111111,500.75555555555553,508.0,541.0,499.0,508.0,463.0,490.0,21.0,89.0,19.0,520.0,541.0,508.0,512.0,513.0,513.0,513.0,509.0,509.0,509.0,512.0,512.0,512.0,514.0,514.0,514.0,514.0,520.0,520.0,520.0,520.0,508.0,508.0,463.0,471.0,471.0,471.0,488.0,488.0,488.0,503.0,503.0,503.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,541.0,541.0,494.0,490.0,490.0,490.0,493.0,493.0,493.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,499.0,499.0
0,509.9111111111111,485.1333333333333,500.3333333333333,519.0,552.0,504.0,508.0,471.0,490.0,21.0,100.0,18.0,520.0,552.0,508.0,513.0,509.0,509.0,509.0,512.0,512.0,512.0,514.0,514.0,514.0,514.0,520.0,520.0,520.0,520.0,508.0,508.0,508.0,519.0,519.0,471.0,488.0,488.0,488.0,503.0,503.0,503.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,541.0,541.0,541.0,552.0,552.0,490.0,493.0,493.0,493.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,499.0,499.0,499.0,504.0,504.0
0,510.53333333333336,494.15555555555557,500.55555555555554,513.0,567.0,517.0,508.0,503.0,499.0,21.0,115.0,27.0,520.0,567.0,517.0,512.0,512.0,512.0,514.0,514.0,514.0,514.0,520.0,520.0,520.0,520.0,508.0,508.0,508.0,519.0,519.0,519.0,519.0,513.0,513.0,503.0,503.0,503.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,541.0,541.0,541.0,552.0,552.0,552.0,552.0,567.0,567.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,499.0,499.0,499.0,504.0,504.0,504.0,504.0,517.0,517.0
0,511.06666666666666,501.2888888888889,501.2888888888889,514.0,562.0,514.0,508.0,517.0,499.0,21.0,115.0,27.0,520.0,567.0,517.0,514.0,514.0,514.0,514.0,520.0,520.0,520.0,520.0,508.0,508.0,508.0,519.0,519.0,519.0,519.0,513.0,513.0,513.0,514.0,514.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,541.0,541.0,541.0,552.0,552.0,552.0,552.0,567.0,567.0,567.0,562.0,562.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,499.0,499.0,499.0,504.0,504.0,504.0,504.0,517.0,517.0,517.0,514.0,514.0
