,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2
0,509.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,532.0,533.0,533.0,533.0,533.0,527.0,527.0,527.0,527.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,510.0,510.0,531.0,571.0,571.0,571.0,571.0,573.0,573.0,573.0,573.0,552.0,552.0,552.0,552.0,527.0,527.0,527.0,527.0,527.0,513.0,513.0,514.0,533.0,573.0,14.0,38.0,90.0,509.97777777777776,513.9333333333333,519.8666666666667,514.0,510.0,513.0,504.0,510.0,513.0
0,507.0,507.0,504.0,504.0,504.0,504.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,506.0,533.0,533.0,527.0,527.0,527.0,527.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,510.0,510.0,510.0,510.0,506.0,571.0,571.0,573.0,573.0,573.0,573.0,552.0,552.0,552.0,552.0,527.0,527.0,527.0,527.0,527.0,513.0,513.0,513.0,513.0,512.0,514.0,533.0,573.0,14.0,38.0,90.0,509.8888888888889,515.1777777777778,522.3777777777777,506.0,506.0,512.0,504.0,506.0,512.0
0,504.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,510.0,510.0,527.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,510.0,510.0,510.0,510.0,506.0,506.0,506.0,506.0,503.0,503.0,573.0,552.0,552.0,552.0,552.0,527.0,527.0,527.0,527.0,527.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,512.0,514.0,527.0,573.0,14.0,33.0,90.0,509.0,516.0,525.6,510.0,503.0,512.0,504.0,503.0,512.0
0,509.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,506.0,510.0,510.0,510.0,510.0,512.0,518.0,516.0,516.0,516.0,516.0,516.0,510.0,510.0,510.0,510.0,506.0,506.0,506.0,506.0,506.0,503.0,503.0,503.0,503.0,510.0,552.0,527.0,527.0,527.0,527.0,527.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,505.0,514.0,518.0,552.0,10.0,31.0,79.0,508.55555555555554,516.3777777777777,527.7777777777778,512.0,510.0,505.0,506.0,503.0,505.0
0,507.0,514.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,506.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,516.0,510.0,510.0,510.0,510.0,506.0,506.0,506.0,506.0,506.0,503.0,503.0,503.0,503.0,510.0,510.0,510.0,510.0,516.0,516.0,527.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,513.0,513.0,514.0,516.0,527.0,10.0,30.0,68.0,508.8,517.2,529.0666666666667,509.0,516.0,513.0,506.0,503.0,505.0
0,506.0,506.0,506.0,506.0,506.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,506.0,506.0,506.0,506.0,506.0,503.0,503.0,503.0,503.0,510.0,510.0,510.0,510.0,516.0,516.0,516.0,516.0,516.0,516.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,512.0,516.0,513.0,10.0,30.0,68.0,508.5777777777778,516.6666666666666,529.0888888888888,507.0,512.0,508.0,506.0,503.0,505.0
0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,511.0,511.0,503.0,503.0,503.0,510.0,510.0,510.0,510.0,516.0,516.0,516.0,516.0,516.0,516.0,512.0,512.0,512.0,512.0,512.0,507.0,507.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,513.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,512.0,516.0,513.0,10.0,30.0,75.0,508.5777777777778,513.7333333333333,523.8,511.0,507.0,498.0,507.0,503.0,498.0
0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,510.0,516.0,516.0,516.0,516.0,516.0,512.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,504.0,504.0,505.0,505.0,505.0,505.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,479.0,479.0,512.0,516.0,513.0,10.0,24.0,94.0,508.8888888888889,512.0666666666667,518.4666666666667,510.0,504.0,479.0,507.0,504.0,479.0
0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,506.0,516.0,516.0,516.0,516.0,516.0,512.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,504.0,501.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,479.0,479.0,479.0,479.0,479.0,467.0,511.0,516.0,513.0,8.0,17.0,85.0,509.24444444444447,509.84444444444443,508.68888888888887,506.0,501.0,467.0,506.0,501.0,467.0
0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,506.0,506.0,506.0,506.0,506.0,510.0,510.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,501.0,501.0,501.0,490.0,490.0,508.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,479.0,479.0,479.0,479.0,479.0,467.0,467.0,467.0,467.0,467.0,464.0,464.0,511.0,512.0,508.0,8.0,26.0,63.0,509.2,507.26666666666665,499.44444444444446,510.0,490.0,464.0,506.0,490.0,464.0
