,unixtime,emg0,emg1
81,1555408662.6370492,497.0,511.0
82,1555408662.689502,504.0,506.0
83,1555408662.7516003,516.0,501.0
84,1555408662.8039472,521.0,508.0
85,1555408662.8595657,512.0,495.0
86,1555408662.9124596,500.0,517.0
87,1555408662.966781,489.0,519.0
88,1555408663.0181088,497.0,507.0
89,1555408663.07108,514.0,510.0
90,1555408663.1256957,527.0,510.0
91,1555408663.1783545,522.0,512.0
92,1555408663.2314842,522.0,512.0
93,1555408663.2833304,516.0,509.0
94,1555408663.3360703,506.0,507.0
95,1555408663.3883283,499.0,519.0
96,1555408663.439985,509.0,509.0
97,1555408663.4959075,517.0,511.0
98,1555408663.5541742,516.0,513.0
99,1555408663.607685,518.0,515.0
100,1555408663.6595414,518.0,515.0
101,1555408663.714113,502.0,512.0
102,1555408663.7688665,505.0,504.0
103,1555408663.8227868,494.0,504.0
104,1555408663.8743947,508.0,512.0
105,1555408663.9309032,512.0,507.0
106,1555408663.9890995,520.0,513.0
107,1555408664.0492105,514.0,508.0
108,1555408664.1009974,497.0,507.0
109,1555408664.1552482,505.0,512.0
110,1555408664.2078018,507.0,495.0
111,1555408664.26157,511.0,481.0
112,1555408664.3133848,517.0,494.0
113,1555408664.3692594,505.0,508.0
114,1555408664.4209616,499.0,516.0
115,1555408664.4727166,505.0,503.0
116,1555408664.5259387,510.0,506.0
117,1555408664.577915,510.0,506.0
118,1555408664.6318038,518.0,511.0
119,1555408664.691421,516.0,509.0
120,1555408664.7432323,508.0,483.0
121,1555408664.7945673,510.0,513.0
122,1555408664.846948,511.0,511.0
123,1555408664.9140863,502.0,513.0
124,1555408664.9677062,493.0,507.0
125,1555408665.0213916,496.0,469.0
126,1555408665.0730567,498.0,513.0
127,1555408665.1291301,516.0,504.0
128,1555408665.183975,507.0,493.0
129,1555408665.2364228,503.0,495.0
130,1555408665.289891,503.0,495.0
131,1555408665.3423479,512.0,490.0
132,1555408665.394166,506.0,501.0
133,1555408665.4466338,519.0,499.0
134,1555408665.501613,510.0,487.0
135,1555408665.5549932,492.0,495.0
136,1555408665.6096766,499.0,500.0
137,1555408665.6705234,506.0,497.0
138,1555408665.7224662,516.0,495.0
139,1555408665.7760167,525.0,506.0
140,1555408665.8278637,510.0,491.0
141,1555408665.882961,498.0,501.0
142,1555408665.9404159,504.0,510.0
143,1555408665.9917245,514.0,496.0
144,1555408666.0431447,515.0,499.0
145,1555408666.0954056,516.0,497.0
146,1555408666.1505075,515.0,501.0
147,1555408666.2058616,507.0,495.0
148,1555408666.2594547,526.0,499.0
149,1555408666.311917,516.0,513.0
150,1555408666.3633258,512.0,512.0
151,1555408666.415507,513.0,514.0
152,1555408666.4674258,502.0,511.0
153,1555408666.5240726,490.0,516.0
154,1555408666.5785565,490.0,516.0
155,1555408666.6337638,499.0,512.0
156,1555408666.688059,516.0,513.0
157,1555408666.7407205,525.0,520.0
158,1555408666.7920632,508.0,521.0
159,1555408666.843426,497.0,523.0
160,1555408666.8950253,496.0,524.0
161,1555408666.9565935,525.0,514.0
162,1555408667.0111125,535.0,512.0
163,1555408667.0685909,533.0,502.0
164,1555408667.1223147,523.0,498.0
165,1555408667.175133,511.0,491.0
166,1555408667.239535,508.0,497.0
167,1555408667.2928338,522.0,507.0
168,1555408667.3463297,527.0,513.0
169,1555408667.398953,515.0,511.0
170,1555408667.450549,496.0,513.0
171,1555408667.5036707,491.0,507.0
172,1555408667.5555353,496.0,504.0
173,1555408667.6106784,496.0,504.0
174,1555408667.667223,511.0,508.0
175,1555408667.7257621,501.0,509.0
176,1555408667.7775567,526.0,512.0
177,1555408667.8329442,601.0,517.0
178,1555408667.8980434,576.0,517.0
179,1555408667.953143,438.0,514.0
180,1555408668.0105288,401.0,510.0
181,1555408668.0620728,435.0,508.0
182,1555408668.1146958,516.0,500.0
183,1555408668.1751654,632.0,501.0
184,1555408668.2269247,631.0,506.0
185,1555408668.284911,496.0,501.0
186,1555408668.3395402,440.0,507.0
187,1555408668.3909535,410.0,511.0
188,1555408668.442439,461.0,514.0
189,1555408668.4948478,551.0,514.0
190,1555408668.5549998,590.0,513.0
191,1555408668.6104443,560.0,508.0
192,1555408668.665565,471.0,510.0
193,1555408668.718753,419.0,509.0
194,1555408668.7726536,419.0,509.0
195,1555408668.8298366,469.0,510.0
196,1555408668.8820205,538.0,510.0
197,1555408668.9343505,525.0,510.0
198,1555408668.9873793,506.0,512.0
199,1555408669.039199,493.0,515.0
200,1555408669.0955963,463.0,508.0
201,1555408669.1472886,477.0,512.0
202,1555408669.1992848,508.0,511.0
203,1555408669.252115,527.0,511.0
204,1555408669.303693,534.0,512.0
205,1555408669.3606396,500.0,513.0
206,1555408669.4198368,465.0,513.0
207,1555408669.4733534,480.0,513.0
208,1555408669.52744,510.0,509.0
209,1555408669.581124,518.0,511.0
210,1555408669.634332,515.0,509.0
211,1555408669.6949687,513.0,510.0
212,1555408669.747807,504.0,509.0
213,1555408669.8135967,504.0,509.0
214,1555408669.865277,508.0,509.0
215,1555408669.9172587,519.0,508.0
216,1555408669.9727085,518.0,509.0
217,1555408670.0249546,515.0,506.0
218,1555408670.0767386,499.0,506.0
219,1555408670.1301336,508.0,512.0
220,1555408670.1837354,508.0,512.0
221,1555408670.2387335,524.0,516.0
222,1555408670.2929335,503.0,514.0
223,1555408670.3457541,478.0,513.0
224,1555408670.3975165,477.0,510.0
225,1555408670.4492564,496.0,511.0
226,1555408670.5031407,530.0,508.0
227,1555408670.5579808,544.0,510.0
228,1555408670.6093652,516.0,512.0
229,1555408670.6611485,484.0,509.0
230,1555408670.7132087,478.0,511.0
231,1555408670.7760472,503.0,513.0
232,1555408670.830636,536.0,516.0
233,1555408670.8831236,537.0,523.0
234,1555408670.9346206,508.0,513.0
235,1555408670.9879622,487.0,519.0
236,1555408671.0438027,487.0,519.0
237,1555408671.0986342,476.0,513.0
238,1555408671.1506145,470.0,516.0
239,1555408671.2028675,488.0,509.0
240,1555408671.2552986,514.0,509.0
241,1555408671.3072493,539.0,503.0
242,1555408671.3775046,544.0,505.0
243,1555408671.4302092,528.0,505.0
244,1555408671.485282,494.0,511.0
245,1555408671.5372143,459.0,514.0
246,1555408671.5891166,459.0,518.0
247,1555408671.6424632,477.0,518.0
248,1555408671.6973443,477.0,518.0
249,1555408671.7492497,496.0,529.0
250,1555408671.8049989,492.0,543.0
251,1555408671.8572786,486.0,532.0
252,1555408671.9090781,487.0,518.0
253,1555408671.9608855,513.0,502.0
254,1555408672.0130239,534.0,495.0
255,1555408672.0648065,551.0,487.0
256,1555408672.1179476,555.0,486.0
257,1555408672.171254,549.0,486.0
258,1555408672.226866,541.0,490.0
259,1555408672.280686,513.0,494.0
260,1555408672.3334277,506.0,506.0
261,1555408672.393249,512.0,509.0
262,1555408672.4523666,533.0,513.0
263,1555408672.5048885,533.0,513.0
264,1555408672.5595603,519.0,505.0
265,1555408672.6184902,502.0,510.0
266,1555408672.6744661,492.0,506.0
267,1555408672.7315927,496.0,508.0
268,1555408672.7843182,512.0,502.0
269,1555408672.8366215,521.0,504.0
270,1555408672.8930423,532.0,509.0
271,1555408672.94532,532.0,509.0
272,1555408673.0006633,524.0,509.0
273,1555408673.0801187,501.0,509.0
274,1555408673.1325858,497.0,509.0
275,1555408673.1905801,511.0,511.0
276,1555408673.242013,518.0,512.0
277,1555408673.293355,519.0,512.0
278,1555408673.3458686,492.0,510.0
279,1555408673.4050105,488.0,511.0
280,1555408673.4572937,487.0,509.0
281,1555408673.5124757,490.0,509.0
282,1555408673.5703208,520.0,513.0
283,1555408673.6221063,544.0,516.0
284,1555408673.6739895,527.0,512.0
285,1555408673.728138,507.0,508.0
286,1555408673.7812133,507.0,508.0
287,1555408673.833711,473.0,510.0
288,1555408673.8910959,479.0,508.0
289,1555408673.94689,507.0,508.0
290,1555408673.9998667,526.0,507.0
291,1555408674.0526705,539.0,508.0
292,1555408674.1044602,536.0,507.0
293,1555408674.16101,489.0,503.0
294,1555408674.216325,477.0,503.0
295,1555408674.2716131,492.0,507.0
296,1555408674.3229876,510.0,512.0
297,1555408674.3806458,527.0,510.0
298,1555408674.432234,524.0,509.0
299,1555408674.485968,499.0,509.0
300,1555408674.5446124,491.0,510.0
301,1555408674.600137,495.0,511.0
