,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,502.0,501.0,441.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,518.0,518.0,518.0,518.0,520.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,501.0,508.0,508.0,483.0,483.0,483.0,483.0,483.0,483.0,475.0,475.0,475.0,441.0,441.0,441.0,441.0,450.0,450.0,450.0,450.0,476.0,509.31111111111113,516.0444444444445,518.5111111111111,520.0,501.0,476.0,20.0,32.0,148.0,520.0,512.0,508.0
0,502.0,501.0,441.0,514.0,514.0,514.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,518.0,518.0,518.0,518.0,520.0,520.0,520.0,520.0,510.0,510.0,512.0,512.0,512.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,510.0,510.0,483.0,483.0,483.0,475.0,475.0,475.0,441.0,441.0,441.0,441.0,450.0,450.0,450.0,450.0,476.0,476.0,476.0,476.0,486.0,486.0,510.6,512.7777777777778,506.55555555555554,510.0,510.0,486.0,18.0,25.0,139.0,520.0,512.0,486.0
0,492.0,501.0,441.0,502.0,502.0,502.0,502.0,502.0,518.0,518.0,518.0,518.0,520.0,520.0,520.0,520.0,520.0,510.0,510.0,510.0,510.0,492.0,492.0,509.0,504.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,510.0,510.0,510.0,510.0,513.0,513.0,475.0,441.0,441.0,441.0,441.0,450.0,450.0,450.0,450.0,476.0,476.0,476.0,476.0,476.0,486.0,486.0,486.0,486.0,480.0,480.0,510.3777777777778,511.4222222222222,495.84444444444443,492.0,513.0,480.0,28.0,25.0,139.0,520.0,513.0,486.0
0,492.0,501.0,441.0,502.0,518.0,518.0,518.0,518.0,520.0,520.0,520.0,520.0,520.0,510.0,510.0,510.0,510.0,492.0,492.0,492.0,492.0,504.0,504.0,504.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,505.0,505.0,441.0,450.0,450.0,450.0,450.0,476.0,476.0,476.0,476.0,476.0,486.0,486.0,486.0,486.0,480.0,480.0,480.0,480.0,492.0,492.0,508.77777777777777,509.97777777777776,489.44444444444446,504.0,505.0,492.0,28.0,21.0,111.0,520.0,513.0,492.0
0,492.0,501.0,450.0,518.0,518.0,520.0,520.0,520.0,520.0,520.0,510.0,510.0,510.0,510.0,492.0,492.0,492.0,492.0,504.0,504.0,504.0,504.0,508.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,509.0,450.0,450.0,476.0,476.0,476.0,476.0,476.0,486.0,486.0,486.0,486.0,480.0,480.0,480.0,480.0,492.0,492.0,492.0,492.0,510.0,508.1333333333333,508.93333333333334,485.84444444444443,508.0,509.0,510.0,28.0,21.0,111.0,520.0,513.0,510.0
0,492.0,501.0,476.0,520.0,520.0,520.0,510.0,510.0,510.0,510.0,492.0,492.0,492.0,492.0,504.0,504.0,504.0,508.0,508.0,508.0,508.0,503.0,503.0,501.0,501.0,501.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,504.0,504.0,476.0,476.0,476.0,486.0,486.0,486.0,486.0,480.0,480.0,480.0,480.0,492.0,492.0,492.0,510.0,510.0,510.0,510.0,518.0,518.0,508.06666666666666,508.1333333333333,483.4888888888889,503.0,504.0,518.0,28.0,14.0,93.0,520.0,513.0,518.0
0,492.0,500.0,480.0,510.0,510.0,510.0,492.0,492.0,492.0,492.0,504.0,504.0,504.0,504.0,508.0,508.0,508.0,508.0,503.0,503.0,503.0,506.0,506.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,500.0,500.0,486.0,486.0,486.0,480.0,480.0,480.0,480.0,492.0,492.0,492.0,492.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,507.0,507.0,507.9111111111111,507.2888888888889,482.97777777777776,506.0,500.0,507.0,28.0,13.0,77.0,510.0,513.0,518.0
0,492.0,500.0,480.0,492.0,492.0,504.0,504.0,504.0,504.0,508.0,508.0,508.0,508.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,506.0,514.0,514.0,513.0,513.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,507.0,507.0,480.0,480.0,492.0,492.0,492.0,492.0,510.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,507.0,507.0,507.0,507.0,495.0,495.0,507.73333333333335,506.35555555555555,484.0,514.0,507.0,495.0,28.0,13.0,77.0,514.0,513.0,518.0
0,503.0,500.0,492.0,504.0,504.0,508.0,508.0,508.0,508.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,522.0,522.0,505.0,505.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,520.0,520.0,492.0,492.0,510.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,507.0,507.0,507.0,507.0,495.0,495.0,495.0,495.0,493.0,493.0,508.35555555555555,506.55555555555554,485.15555555555557,522.0,520.0,493.0,30.0,20.0,77.0,522.0,520.0,518.0
0,503.0,500.0,493.0,508.0,508.0,508.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,522.0,522.0,522.0,510.0,510.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,520.0,520.0,520.0,512.0,512.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,507.0,507.0,507.0,507.0,495.0,495.0,495.0,495.0,493.0,493.0,493.0,494.0,494.0,509.15555555555557,507.0444444444444,487.15555555555557,510.0,512.0,494.0,30.0,20.0,77.0,522.0,520.0,518.0
