,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2
0,497.0,502.0,546.0,24.0,20.0,66.0,494.0,499.0,546.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,498.0,494.0,494.0,494.0,494.0,494.0,497.0,497.0,509.0,509.0,509.0,506.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,550.0,550.0,550.0,562.0,562.0,562.0,562.0,562.0,566.0,566.0,566.0,566.0,566.0,555.0,555.0,555.0,555.0,555.0,546.0,546.0,505.06666666666666,508.8,537.0444444444445,508.0,509.0,566.0
0,512.0,492.0,531.0,24.0,23.0,61.0,494.0,492.0,531.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,498.0,494.0,494.0,494.0,494.0,494.0,497.0,497.0,497.0,497.0,497.0,497.0,512.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,502.0,492.0,562.0,562.0,562.0,566.0,566.0,566.0,566.0,566.0,555.0,555.0,555.0,555.0,555.0,546.0,546.0,546.0,546.0,546.0,546.0,531.0,503.73333333333335,506.8666666666667,541.6,512.0,508.0,566.0
0,505.0,496.0,512.0,22.0,19.0,54.0,494.0,492.0,512.0,498.0,498.0,498.0,494.0,494.0,494.0,494.0,494.0,497.0,497.0,497.0,497.0,497.0,497.0,512.0,512.0,512.0,512.0,512.0,505.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,502.0,492.0,492.0,492.0,492.0,492.0,496.0,566.0,566.0,566.0,555.0,555.0,555.0,555.0,555.0,546.0,546.0,546.0,546.0,546.0,546.0,531.0,531.0,531.0,531.0,531.0,512.0,503.0,504.5777777777778,543.6222222222223,512.0,508.0,566.0
0,500.0,495.0,508.0,18.0,18.0,58.0,494.0,492.0,508.0,494.0,494.0,494.0,497.0,497.0,497.0,497.0,497.0,497.0,512.0,512.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,505.0,500.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,502.0,492.0,492.0,492.0,492.0,492.0,496.0,496.0,496.0,496.0,496.0,495.0,555.0,555.0,555.0,546.0,546.0,546.0,546.0,546.0,546.0,531.0,531.0,531.0,531.0,531.0,512.0,512.0,512.0,512.0,512.0,508.0,502.3777777777778,502.93333333333334,542.8,512.0,508.0,555.0
0,510.0,493.0,502.0,18.0,17.0,64.0,497.0,492.0,502.0,497.0,497.0,497.0,497.0,512.0,512.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,510.0,502.0,502.0,502.0,502.0,492.0,492.0,492.0,492.0,492.0,496.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,493.0,546.0,546.0,546.0,546.0,531.0,531.0,531.0,531.0,531.0,512.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,508.0,502.0,502.2,501.26666666666665,540.2666666666667,512.0,502.0,546.0
0,498.0,492.0,505.0,18.0,17.0,64.0,497.0,492.0,502.0,497.0,512.0,512.0,512.0,512.0,512.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,498.0,502.0,492.0,492.0,492.0,492.0,492.0,496.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,493.0,493.0,493.0,492.0,546.0,531.0,531.0,531.0,531.0,531.0,512.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,505.0,502.0,500.1777777777778,537.9333333333333,512.0,502.0,546.0
0,518.0,500.0,510.0,24.0,17.0,64.0,498.0,492.0,502.0,512.0,512.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,498.0,498.0,498.0,518.0,518.0,492.0,492.0,496.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,493.0,493.0,493.0,492.0,492.0,492.0,500.0,500.0,531.0,531.0,512.0,512.0,512.0,512.0,512.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,505.0,505.0,505.0,510.0,510.0,502.8,499.02222222222224,534.1555555555556,518.0,500.0,531.0
0,492.0,511.0,519.0,26.0,19.0,64.0,492.0,492.0,502.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,498.0,498.0,498.0,518.0,518.0,518.0,518.0,518.0,492.0,492.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,493.0,493.0,493.0,492.0,492.0,492.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,512.0,512.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,505.0,505.0,505.0,510.0,510.0,510.0,510.0,510.0,519.0,519.0,502.9555555555556,498.77777777777777,529.0444444444445,518.0,511.0,519.0
0,506.0,515.0,521.0,26.0,23.0,64.0,492.0,492.0,502.0,500.0,500.0,500.0,500.0,510.0,510.0,510.0,498.0,498.0,498.0,518.0,518.0,518.0,518.0,518.0,492.0,492.0,492.0,506.0,506.0,495.0,495.0,495.0,495.0,493.0,493.0,493.0,492.0,492.0,492.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,511.0,515.0,515.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,505.0,505.0,505.0,510.0,510.0,510.0,510.0,510.0,519.0,519.0,519.0,521.0,521.0,502.9555555555556,499.6,526.0888888888888,518.0,515.0,521.0
0,512.0,512.0,523.0,26.0,23.0,53.0,492.0,492.0,502.0,510.0,510.0,510.0,498.0,498.0,498.0,518.0,518.0,518.0,518.0,518.0,492.0,492.0,492.0,506.0,506.0,506.0,506.0,512.0,512.0,493.0,493.0,493.0,492.0,492.0,492.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,511.0,515.0,515.0,515.0,515.0,512.0,512.0,502.0,502.0,502.0,505.0,505.0,505.0,510.0,510.0,510.0,510.0,510.0,519.0,519.0,519.0,521.0,521.0,521.0,521.0,523.0,523.0,504.02222222222224,500.68888888888887,522.4222222222222,518.0,515.0,523.0
